Year,ActivityDate,FishTicketN,Vessel,Coop,Season,Pollock,Chinook
2000,1/21/00,G98031617,VIKING EXPLORER,Akutan pollock,A,118.0540695,0
2000,1/21/00,G98031619,GOLDEN DAWN,Akutan pollock,A,271.0255737,4
2000,1/21/00,G98031620,RAVEN,Akutan pollock,A,127.3505402,0
2000,1/21/00,G98031623,ARCTURUS,Akutan pollock,A,237.8435974,1
2000,1/22/00,G98031624,PACIFIC VIKING,Akutan pollock,A,213.4564056,2
2000,1/22/00,G98031625,ALDEBARAN,Akutan pollock,A,223.761673,0
2000,1/22/00,G98031628,DOMINATOR,Akutan pollock,A,328.2296143,1
2000,1/22/00,G98031632,SOVEREIGNTY,Akutan pollock,A,451.0736694,8
2000,1/23/00,G98031635,NORTHERN PATRIOT,Akutan pollock,A,443.5126648,5
2000,1/23/00,G98031636,GLADIATOR,Akutan pollock,A,318.6891174,2
2000,1/24/00,G98031637,GOLDEN DAWN,Akutan pollock,A,306.8289185,14
2000,1/24/00,G98031641,COLUMBIA,Akutan pollock,A,218.3706818,5
2000,1/24/00,G98031642,NORDIC EXPLORER,Akutan pollock,A,176.5934906,1
2000,1/24/00,G98031644,DONA MARTITA,Westward,A,443.791626,10
2000,1/25/00,G98031645,INTREPID EXPLORER,Arctic Ent,A,164.2619934,0
2000,1/25/00,G98031646,MAJESTY,Akutan pollock,A,169.9823151,3
2000,1/25/00,G98031648,VIKING EXPLORER,Akutan pollock,A,229.9977264,0
2000,1/25/00,G98031650,RAVEN,Akutan pollock,A,135.3111725,1
2000,1/25/00,G98031651,ARCTURUS,Akutan pollock,A,205.7407227,4
2000,1/25/00,G98031652,PACIFIC VIKING,Akutan pollock,A,220.8110352,1
2000,1/25/00,G99004379,COMMODORE,Northern Victor,A,166.1711884,0
2000,1/26/00,G98031657,ALDEBARAN,Akutan pollock,A,216.7046204,1
2000,1/26/00,G98031659,DOMINATOR,Akutan pollock,A,292.4666748,3
2000,1/26/00,G98031662,SOVEREIGNTY,Akutan pollock,A,483.7607727,27
2000,1/26/00,G99015014,VIKING,Westward,A,335.5488586,3
2000,1/27/00,G98031664,NORTHERN PATRIOT,Akutan pollock,A,460.4839783,10
2000,1/27/00,G98031665,GOLDEN DAWN,Akutan pollock,A,301.4637451,16
2000,1/27/00,G98031666,GLADIATOR,Akutan pollock,A,323.762146,4
2000,1/28/00,G98031667,COLUMBIA,Akutan pollock,A,221.6429291,1
2000,1/28/00,G98031672,ROYAL AMERICAN,Akutan pollock,A,164.9786835,2
2000,1/28/00,G98031679,DONA MARTITA,Westward,A,433.8687439,8
2000,1/28/00,G99004384,COMMODORE,Northern Victor,A,203.8374329,3
2000,1/28/00,G99015015,CHELSEA K,Westward,A,857.2675171,10
2000,1/28/00,G99015016,WESTWARD I,Westward,A,270.3397522,24
2000,1/29/00,G98031677,NORDIC EXPLORER,Akutan pollock,A,191.0264893,1
2000,1/29/00,G98031680,INTREPID EXPLORER,Arctic Ent,A,169.948288,0
2000,1/29/00,G98031683,MAJESTY,Akutan pollock,A,160.6477356,8
2000,1/29/00,G98031684,ARCTURUS,Akutan pollock,A,226.6864777,2
2000,1/29/00,G98031685,VIKING EXPLORER,Akutan pollock,A,207.9864807,0
2000,1/29/00,G98031687,PACIFIC VIKING,Akutan pollock,A,219.535965,3
2000,1/29/00,G99004387,STORM PETREL,Northern Victor,A,218.046814,4
2000,1/29/00,G99015025,PACIFIC KNIGHT,Westward,A,424.0923462,18
2000,1/30/00,G98031688,ALDEBARAN,Akutan pollock,A,218.4282837,3
2000,1/30/00,G98031690,DOMINATOR,Akutan pollock,A,296.2178955,0
2000,1/30/00,G98031698,SOVEREIGNTY,Akutan pollock,A,432.792778,8.000000119
2000,1/30/00,G99004389,COMMODORE,Northern Victor,A,200.5293427,1
2000,1/31/00,G98031704,NORTHERN PATRIOT,Akutan pollock,A,461.940033,8
2000,1/31/00,G98031707,GLADIATOR,Akutan pollock,A,318.0785522,0
2000,1/31/00,G98032763,ARCTIC EXPLORER,Akutan pollock,A,223.6863861,0
