Date,Credits Available,Credits Needed (Estimated),Credits Needed(Actual),Vessels (out of credits), Vessels (out of pollock IFQ),Pollock, Pollock (std), Bycatch, Bycatch (std)
Jan-21-2005,23804,,,0,0,1630.06,1630.06,35,35
Jan-22-2005,23746,,,0,0,3273.4,4903.46,58,93
Jan-23-2005,23703,,,0,0,3301.57,8205.03,43,136
Jan-24-2005,23596,,,0,0,3153.44,11358.5,107,243
Jan-25-2005,23481,,,0,0,4112.48,15470.9,115,358
Jan-26-2005,23352,,,0,0,5016.31,20487.2,129,487
Jan-27-2005,23241,,,0,1,5074.78,25562,111,598
Jan-28-2005,22938,,,0,1,5186.13,30748.2,303,901
Feb-1-2005,22691,,,0,1,5217.32,35965.5,247,1148
Feb-2-2005,22491,,,0,1,4612.43,40577.9,200,1348
Feb-3-2005,22252,,,0,1,5475.11,46053,239,1587
Feb-1-2005,21887,,,0,1,5103.68,51156.7,365,1952
Feb-2-2005,21461,,,0,1,4700.59,55857.3,426,2378
Feb-3-2005,21128,,,0,1,5143.38,61000.7,333,2711
Feb-4-2005,20916,,,0,1,3965.05,64965.7,212,2923
Feb-5-2005,20613,,,0,1,5238.04,70203.7,303,3226
Feb-6-2005,20361,,,1,2,5067.21,75271,311,3537
Feb-7-2005,20128,,,1,2,4924.63,80195.6,233,3770
Feb-8-2005,19690,,,1,3,5335.01,85530.6,436,4206
Feb-9-2005,19170,,,2,4,4756.87,90287.5,525,4731
Feb-10-2005,18830,,,2,5,4706.49,94993.9,337,5068
Feb-11-2005,18350,,,2,7,4880.66,99874.6,476,5544
Feb-12-2005,18029,,,2,7,4718.28,104593,321,5865
Feb-13-2005,17808,,,3,8,4347.8,108941,232,6097
Feb-14-2005,17560,,,3,8,3242.38,112183,248,6345
Feb-15-2005,16899,,,3,9,5363.54,117547,655,7000
Feb-16-2005,16239,,,4,10,4500.71,122047,670,7670
Feb-17-2005,15840,,,4,10,2729.24,124777,399,8069
Feb-18-2005,15457,,,4,10,3781.28,128558,383,8452
Feb-19-2005,14905,,,4,10,2845.16,131403,552,9004
Feb-20-2005,14860,,,4,10,1060.55,132464,45,9049
Feb-21-2005,14709,,,4,11,3522.6,135986,149,9198
Feb-22-2005,14656,,,4,11,3536.78,139523,63,9261
Feb-23-2005,14585,,,4,11,5258.4,144781,71,9332
Feb-24-2005,14510,,,4,11,4978.21,149760,75,9407
Feb-25-2005,14383,,,4,13,4547.68,154307,128,9535
Feb-26-2005,14232,,,4,13,4113.82,158421,151,9686
Feb-27-2005,13980,,,4,14,4996.92,163418,226,9912
Feb-28-2005,13799,,,4,14,4963.89,168382,181,10093
Mar-1-2005,13649,,,4,16,4226.85,172609,123,10216
Mar-2-2005,13551,,,4,18,3547.05,176156,90,10306
Mar-3-2005,13492,,,4,18,2937.49,179093,59,10365
Mar-4-2005,13174,,,4,18,4438.44,183532,318,10683
Mar-5-2005,12645,,,4,20,3750.72,187282,501,11184
Mar-6-2005,12525,,,4,22,4311.77,191594,108,11292
Mar-7-2005,12454,,,4,24,4733.46,196328,55,11347
Mar-8-2005,12396,,,4,25,2724.38,199052,45,11392
Mar-9-2005,12346,,,4,25,4796.13,203848,50,11442
Mar-10-2005,12293,,,4,25,3450.02,207298,53,11495
Mar-11-2005,12213,,,4,26,3625.58,210924,42,11537
Mar-12-2005,12202,,,4,26,1797,212721,11,11548
Mar-13-2005,12050,,,4,29,4479.29,217200,96,11644
Mar-14-2005,11985,,,4,30,2867.08,220067,45,11689
Mar-15-2005,11887,,,4,31,3717.14,223784,98,11787
Mar-16-2005,11708,,,4,32,3382.89,227167,158,11945
Mar-17-2005,11650,,,4,33,2457.49,229625,53,11998
Mar-18-2005,11532,,,4,39,3209.04,232834,62,12060
Mar-19-2005,11470,,,4,39,3206.98,236041,62,12122
Mar-20-2005,11297,,,4,43,4261.47,240302,74,12196
Mar-21-2005,11041,,,4,53,3761,244063,74,12270
Mar-22-2005,10705,,,4,62,3098.06,247161,83,12353
Mar-23-2005,10576,,,4,67,2061.2,249222,62,12415
Mar-24-2005,10320,,,4,73,1898.58,251121,139,12554
Mar-25-2005,10197,,,4,77,765.399,251886,67,12621
