Date, Vessels (out of credits),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Jan-21-2004,0,613.704,613.704,14,14,0.0228123
Jan-22-2004,0,2691.85,3305.56,62,76,0.0230325
Jan-23-2004,0,4324.89,7630.45,125,201,0.0289024
Jan-24-2004,0,4537.12,12167.6,153,354,0.0337218
Jan-25-2004,0,3912.55,16080.1,183,537,0.0467726
Jan-26-2004,0,3897.08,19977.2,150,687,0.0384903
Jan-27-2004,0,4048.91,24026.1,142,829,0.0350712
Jan-28-2004,0,3586.52,27612.6,229,1058,0.0638502
Jan-29-2004,0,4495.74,32108.4,275,1333,0.061169
Jan-30-2004,1,4010.18,36118.6,216,1549,0.053863
Jan-31-2004,1,4404.84,40523.4,193,1742,0.0438154
Feb-1-2004,1,4466.95,44990.3,192,1934,0.0429824
Feb-2-2004,1,3537.4,48527.7,212,2146,0.059931
Feb-3-2004,1,4225.9,52753.6,215,2361,0.0508767
Feb-4-2004,1,4760.98,57514.6,172,2533,0.036127
Feb-5-2004,1,4431.15,61945.8,187,2720,0.0422012
Feb-6-2004,1,3958.09,65903.9,215,2935,0.0543191
Feb-7-2004,1,3695.81,69599.7,125,3060,0.0338221
Feb-8-2004,1,5264.29,74864,203,3263,0.0385617
Feb-9-2004,1,4538.81,79402.8,150,3413,0.0330483
Feb-10-2004,1,5156.48,84559.3,189,3602,0.0366529
Feb-11-2004,1,3755.2,88314.4,102,3704,0.0271624
Feb-12-2004,1,4782.31,93096.8,249,3953,0.0520668
Feb-13-2004,1,3575.87,96672.6,300,4253,0.0838958
Feb-14-2004,1,2139.28,98811.9,185,4438,0.0864778
Feb-15-2004,2,5017.86,103830,364,4802,0.0725409
Feb-16-2004,2,3888.97,107719,131,4933,0.033685
Feb-17-2004,2,4872.87,112592,165,5098,0.033861
Feb-18-2004,2,4259.33,116851,157,5255,0.0368603
Feb-19-2004,2,4593.57,121445,115,5370,0.025035
Feb-20-2004,2,4371,125816,85,5455,0.0194463
Feb-21-2004,2,4455.81,130271,65,5520,0.0145877
Feb-22-2004,2,4877.07,135148,92,5612,0.0188638
Feb-23-2004,2,3804.32,138953,32,5644,0.00841149
Feb-24-2004,2,5574.58,144527,62,5706,0.0111219
Feb-25-2004,2,2945.38,147473,69,5775,0.0234266
Feb-26-2004,2,5012.53,152485,126,5901,0.025137
Feb-27-2004,2,4546.15,157031,108,6009,0.0237564
Feb-28-2004,2,4054.86,161086,132,6141,0.0325535
Feb-29-2004,2,5192.29,166278,168,6309,0.0323557
Mar-1-2004,2,3984.34,170263,148,6457,0.0371454
Mar-2-2004,2,4286.99,174550,128,6585,0.0298577
Mar-3-2004,2,4699.49,179249,111,6696,0.0236196
Mar-4-2004,2,3755.23,183005,108,6804,0.0287599
Mar-5-2004,2,3065.67,186070,105,6909,0.0342503
Mar-6-2004,2,4908.31,190979,111,7020,0.0226147
Mar-7-2004,2,4496.69,195475,225,7245,0.0500368
Mar-8-2004,2,4092.71,199568,351,7596,0.0857622
Mar-9-2004,2,3431.96,203000,296,7892,0.0862482
Mar-10-2004,2,5471.21,208471,294,8186,0.0537359
Mar-11-2004,2,3260.64,211732,116,8302,0.0355758
Mar-12-2004,2,3441.5,215173,98,8400,0.028476
Mar-13-2004,2,3342.73,218516,101,8501,0.0302148
Mar-14-2004,2,2954.46,221470,131,8632,0.0443397
Mar-15-2004,2,3112.09,224582,180,8812,0.057839
Mar-16-2004,2,3654.27,228237,147,8959,0.0402269
Mar-17-2004,2,2386.81,230624,127,9086,0.053209
Mar-18-2004,2,4282.48,234906,236,9322,0.0551083
Mar-19-2004,2,2732.06,237638,115,9437,0.0420928
Mar-20-2004,2,2996.19,240634,145,9582,0.0483948
Mar-21-2004,2,1900.05,242534,80,9662,0.0421041
Mar-22-2004,2,2272.32,244807,95,9757,0.0418075
Mar-23-2004,2,2192.44,246999,125,9882,0.0570142
Mar-24-2004,2,1233.49,248233,101,9983,0.0818816
Mar-25-2004,3,2016.96,250250,119,10102,0.0589998
Mar-26-2004,3,1767.39,252017,49,10151,0.0277245
Mar-27-2004,3,1539.51,253556,36,10187,0.0233841
Mar-28-2004,3,809.353,254366,9,10196,0.01112
