allocation_perc	2003	2004	2005	2006	2007	estimated
0.06629	0.703302686	0.207978052	0.904530994	0.385306521	0.246589199	0.589766014
0.09907	0.63272906	0.061623127	0.288289935	0.227221811	0.59607721	0.580905231
0.12322	0.677254438	2.208491468	2.269206674	0.393109374	1.138800644	0.574624588
0.12994	0.100915396	1.540728465	1.031482712	1.461129041	0.180437444	0.572914397
0.13211	0.96472215	0.897134817	1.791832826	1.213461564	1.211235819	0.57236461
0.22590	0.050374297	0.129172927	0.246987131	0.459369181	0.950906707	0.550034615
0.26509	0.661094354	1.32961945	1.188812163	0.211638816	0.350082667	0.541447599
0.30853	0.650000739	0.330386334	1.148100292	0.444831007	0.71075158	0.532385275
0.31832	1.019744325	0.295245423	0.425069831	0.28343408	0.066816067	0.530404865
0.36546	1.301001677	0.932054908	1.359137663	1.211163716	0.876725875	0.521167969
0.36803	0.723632151	0.463168497	0.38350762	0.206052077	0.418101652	0.520677684
0.38464	0.063229149	0.629600004	2.291737072	1.390548702	1.09129488	0.517546062
0.39005	1.407058714	0.953280485	0.668635406	0.267482928	0.731361147	0.516537438
0.40442	0.334586322	0.113427184	0.277484865	0.442714715	0.524522092	0.513888565
0.43332	1.873462957	2.295311604	1.009251633	0.600147391	0.198712958	0.508681172
0.43736	0.047858746	0.219644879	0.382859244	1.148331292	2.869186039	0.507965287
0.44004	0	0.061931242	0.221688324	1.370678464	0.071186048	0.507493632
0.44755	0.552109597	1.071365285	0.320575922	0.678759784	0.175180469	0.506174112
0.49664	1.092509027	0.508007425	0.654029363	0.309117544	0.127393837	0.497804923
0.50008	1.180643037	0.355184392	0.436208483	0.619700336	0.259295461	0.49723357
0.52520	0.70531788	0.576663361	0.631896353	0.295373016	0.531907112	0.493120909
0.53479	1.048184189	0.548407243	0.906019117	0.254825213	1.098752457	0.491578008
0.55150	0.652453572	0.240814636	0.215428119	0.235697225	0.233796923	0.488924274
0.55845	1.008982631	0.312302845	0.243855899	0.37346939	0.436325355	0.487832909
0.76584	0.302765105	0.040664969	0.402738451	0.847941559	1.146739769	0.458291743
1.10557	1.93835234	3.473971156	0.906469675	0.367590311	0.84139195	0.419693709
1.12201	1.022936391	0.627737812	1.222741446	1.176147703	0.575034741	0.418064913
1.15923	0.880146053	2.383165681	1.320946277	0.632439261	1.836199923	0.414445931
1.16798	0.661896704	0.885105022	0.350777418	0.715214913	0.611755966	0.413608354
1.18983	0.658055545	0.716788769	0.298359217	0.546402529	1.567361485	0.411539567
1.19829	0.871872776	0.931155047	2.399991107	1.757717437	1.325779775	0.410747543
1.21777	0.75276411	0.286823547	0.366311454	0.63643903	0.547397727	0.408939716
1.25906	0.40106728	0.262364127	0.383348356	1.079681001	1.542244993	0.405184628
1.29709	1.928328092	0.775132592	2.726072047	1.470105719	0.855603107	0.401817197
1.35051	1.181514537	2.370427542	1.491641845	0.917713209	2.237060358	0.397224413
1.41607	0.845617062	0.758302162	0.715097011	1.754074242	1.573146053	0.391798476
1.42051	0.619920729	0.321881884	0.488057531	0.547678011	0.814014345	0.391438661
1.43394	0.717252147	0.360155423	0.266600418	0.500353276	0.403471271	0.390357097
1.44002	1.117276076	1.007500425	0.432524512	0.702551664	1.350205195	0.389870373
1.48179	0.595708556	1.108873428	1.484520765	1.740295578	1.935651804	0.38657597
1.55222	1.15595784	0.715144529	1.648510804	1.503741756	1.422695933	0.381204571
1.57424	0.737584796	0.386974856	0.456226387	0.712226447	0.429027572	0.379570772
1.58122	0.455973285	0.468176027	0.331983652	0.868482206	1.212938293	0.379056989
1.58533	1.161528863	0.892319785	1.770607873	1.982426667	1.591124161	0.378755592
1.66255	0.859190399	0.794123953	2.885866837	1.521695503	1.346687599	0.373223141
1.66572	1.94362485	0.622697341	0.654212345	1.79159013	1.700379131	0.373000872
1.68467	0.501223976	0.88941255	0.32130982	1.156613076	1.30368017	0.371682483
1.72306	0.441115172	0.90408101	0.690820636	0.74196124	0.786252086	0.369053143
1.75714	1.892581915	2.750352943	2.696155409	1.390414971	1.673401335	0.366765167
1.80572	1.818942359	1.857742739	1.487797727	1.14924431	1.083674715	0.363576029
1.82336	1.07907329	1.84752148	0.530805496	0.597728068	0.741197008	0.362438361
1.83041	0.72531462	0.471099064	2.010177615	0.85945747	0.845985066	0.361986703
1.84431	0.271177672	0.470960017	0.796439426	1.60040292	1.044607557	0.361101152
1.89951	1.14403085	1.405383385	0.37258038	0.842719217	0.781697744	0.357647574
1.92467	0.715766584	0.711256662	1.194658116	0.679563866	1.065126355	0.356105932
1.95123	1.06119291	1.604552953	0.730215125	1.361915997	0.955950615	0.354499743
2.02049	2.408716538	2.291966585	1.443456162	1.482155656	0.7732761	0.350411641
2.03275	1.283183852	1.47763327	1.269533558	1.26890575	1.189641	0.349702521
