Date,Credits (for sale),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Jan-20-2003,0,121.244,121.244,3,3,0.0247434
Jan-21-2003,0,1713.32,1834.57,54,57,0.0315177
Jan-22-2003,0,2485.46,4320.03,92,149,0.0370152
Jan-23-2003,0,1829.07,6149.1,96,245,0.0524857
Jan-24-2003,0,3944.86,10094,212,457,0.0537408
Jan-25-2003,0,5125.35,15219.3,326,783,0.0636054
Jan-26-2003,0,4231.3,19450.6,305,1088,0.0720819
Jan-27-2003,0,4965.56,24416.2,261,1349,0.0525621
Jan-28-2003,0,3340.6,27756.8,143,1492,0.0428067
Jan-29-2003,0,4404.06,32160.8,188,1680,0.0426879
Jan-30-2003,0,4744.95,36905.8,177,1857,0.0373028
Jan-31-2003,0,4621.2,41527,208,2065,0.0450099
Feb-1-2003,0,4418.67,45945.7,288,2353,0.065178
Feb-2-2003,0,5102.1,51047.7,358,2711,0.0701672
Feb-3-2003,0,3367.39,54415.1,244,2955,0.0724597
Feb-4-2003,0,4338.71,58753.9,192,3147,0.0442528
Feb-5-2003,0,3469.72,62223.6,202,3349,0.0582179
Feb-6-2003,0,5208.85,67432.4,239,3588,0.0458834
Feb-7-2003,0,4010.25,71442.7,161,3749,0.0401472
Feb-8-2003,0,4801.67,76244.3,141,3890,0.0293648
Feb-9-2003,0,4730.66,80975,168,4058,0.035513
Feb-10-2003,0,3760.5,84735.5,170,4228,0.0452067
Feb-11-2003,0,4932.04,89667.5,210,4438,0.0425787
Feb-12-2003,0,4121.61,93789.2,294,4732,0.0713314
Feb-13-2003,0,4886.1,98675.3,329,5061,0.0673339
Feb-14-2003,0,3513.64,102189,196,5257,0.0557825
Feb-15-2003,0,4682.12,106871,200,5457,0.0427157
Feb-16-2003,0,4165.43,111036,227,5684,0.0544962
Feb-17-2003,0,3837.33,114874,412,6096,0.107366
Feb-18-2003,0,3836.84,118711,293,6389,0.0763649
Feb-19-2003,0,4824.39,123535,433,6822,0.0897523
Feb-20-2003,0,3658.34,127193,240,7062,0.0656036
Feb-21-2003,0,3769.51,130963,304,7366,0.080647
