,,A Season,,,,,,,B Season,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
STORM PETREL,Northern Victor,3461.1,568,486.667,2324.04,0.36058,365,nan,1.66667,4340.83,744,274.667,559.317,0.0875311,206,-0.386577,0.914094,7801.93,1312,2883.36,0.168164,571
ARCTURUS,Akutan pollock,4565.56,460,612,212.429,0.105671,459,nan,1.66667,3554.82,1290,161.333,2079.78,0.136267,121,-1.22849,0.721549,8120.38,1750,2292.21,0.215507,580
RAVEN,Akutan pollock,2306.13,41,332,131.364,0.0179329,249,nan,1.66667,0,0,0,0,nan,0,,,2306.13,41,131.364,0.0177787,249
PROGRESS,Unalaska,2352.51,224,325.333,0,0.0952174,244,nan,1.66667,3935.25,407,233.333,507.031,0.0548389,175,0.17818,1.0396,6287.76,631,507.031,0.100354,419
ARCTIC WIND,Westward,4612.7,744,633.333,2523.97,0.277202,475,nan,1.66667,5264.53,258,320,0,0.0490072,240,0.278923,1.06198,9877.23,1002,2523.97,0.101445,715
PEGASUS,Akutan pollock,2066.57,58,300,0,0.0280658,225,nan,1.66667,326.182,29,20,0,0.0889074,15,-0.410352,0.908811,2392.76,87,0,0.0363597,240
GREAT PACIFIC,Unalaska,3064.31,201,429.333,0,0.0655939,322,nan,1.66667,3826.46,599,209.333,311.639,0.0546258,157,0.181862,1.04041,6890.77,800,311.639,0.116097,479
NORDIC STAR,Unisea,2578.51,414,361.333,1977.21,0.523863,271,nan,1.66667,4000.08,62,262.667,0,0.0154997,197,0.857765,1.19061,6578.59,476,1977.21,0.072356,468
SEADAWN,Unisea,3579.56,710,474.667,2675.1,0.456624,356,nan,1.66667,2620.91,310,165.333,863.113,0.0768006,124,-0.201208,0.955287,6200.47,1020,3538.21,0.164504,480
POSEIDON,Northern Victor,3288.51,945,445.333,2572.33,0.652075,334,nan,1.66667,3346.67,573,209.333,413.283,0.0715897,157,-0.111189,0.975291,6635.17,1518,2985.61,0.228781,491
PACIFIC PRINCE,Westward,5679.85,1324,800,4216.64,0.750403,600,nan,1.66667,8370.82,2490,550.667,0,0.297462,413,-4.01313,0.333333,14050.7,3814,4216.64,0.271446,1013
BERING ROSE,Unalaska,4794.26,518,646.667,304.276,0.115368,485,nan,1.66667,6297.62,637,361.333,0,0.101149,271,-0.621831,0.861815,11091.9,1155,304.276,0.10413,756
GOLDEN DAWN,Akutan pollock,5388.01,725,740,2806.04,0.217663,555,nan,1.66667,7617.89,1130,444,1608,0.0613988,333,0.0648586,1.01441,13005.9,1855,4414.05,0.142628,888
DESTINATION,Unalaska,5983.16,881,789.333,2133.6,0.167552,592,nan,1.66667,7027.24,1345,442.667,1391.92,0.0991957,332,-0.588083,0.869315,13010.4,2226,3525.52,0.171094,924
VIKING,Westward,3603.02,658,446.667,2257.67,0.429626,335,nan,1.66667,7396.96,380,477.333,0,0.0513725,358,0.238063,1.0529,11000,1038,2257.67,0.0943638,693
DOMINATOR,Akutan pollock,4285.34,447,552,967.768,0.126297,414,nan,1.66667,6992.6,874,396,1119.56,0.0521025,297,0.225452,1.0501,11277.9,1321,2087.32,0.117131,711
AMERICAN BEAUTY,Peter Pan,1671.7,464,237.333,977.634,0.331383,178,nan,1.66667,1978.11,3,117.333,0,0.0015166,88,1.09932,1.24429,3649.81,467,977.634,0.127952,266
AURORA,Unisea,8382.02,1062,1149.33,0,0.1267,862,nan,1.66667,11900.8,552,769.333,0,0.0463835,577,0.324247,1.07205,20282.8,1614,0,0.0795748,1439
ALSEA,Unisea,4436.57,1536,585.333,3049.31,0.746791,439,nan,1.66667,6541.26,39,424,0,0.00596215,318,1.02253,1.22723,10977.8,1575,3049.31,0.143471,757
ROYAL ATLANTIC,Northern Victor,3064.3,395,433.333,2201.82,0.390732,325,nan,1.66667,4473.5,247,293.333,0,0.055214,220,0.1717,1.03816,7537.8,642,2201.82,0.0851707,545
PACIFIC VIKING,Akutan pollock,2002.55,339,274.667,697.489,0.22068,206,nan,1.66667,4449.48,767,204,530.357,0.0826715,153,-0.302626,0.93275,6452.03,1106,1227.85,0.171419,359
NORTHWEST EXPLORER,Akutan pollock,4603.86,950,637.333,3315.83,0.427783,478,nan,1.66667,5545.67,804,236,703.304,0.119983,177,-0.947177,0.789516,10149.5,1754,4019.13,0.172816,655
MORNING STAR,Unalaska,4212.05,1061,524,3523.16,0.882573,393,nan,1.66667,6248.25,966,353.333,919.533,0.0574247,265,0.133511,1.02967,10460.3,2027,4442.69,0.19378,658
VIKING EXPLORER,Akutan pollock,3366.05,752,449.333,2721.25,0.544352,337,nan,1.66667,4978.82,1262,256,1233.18,0.0616716,192,0.0601463,1.01337,8344.87,2014,3954.42,0.241346,529
CHELSEA K,Westward,13287.5,2114,1557.33,7414.76,0.242135,1168,nan,1.66667,15845.3,848,1010.67,0,0.0535175,758,0.201008,1.04467,29132.8,2962,7414.76,0.101672,1926
GLADIATOR,Akutan pollock,3866.39,551,513.333,1077.74,0.171767,385,nan,1.66667,2805.43,904,156,584.85,0.194544,117,-2.23522,0.333333,6671.82,1455,1662.59,0.218081,502
AURIGA,Unisea,7941.05,1557,1002.67,6288.65,0.538006,752,nan,1.66667,12735.6,478,798.667,0,0.0375326,599,0.477146,1.10603,20676.6,2035,6288.65,0.0984203,1351
STARFISH,Unisea,4308.93,682,598.667,2088.41,0.233278,449,nan,1.66667,5901.05,225,380,0,0.0381288,285,0.466847,1.10374,10210,907,2088.41,0.0888347,734
STARLITE,Unisea,3488.24,413,473.333,772.075,0.149476,355,nan,1.66667,4404.23,16,288,0,0.00363287,216,1.06276,1.23617,7892.46,429,772.075,0.0543556,571
COMMODORE,Northern Victor,2594.55,839,360,2056.32,0.927115,270,nan,1.66667,3660.69,777,228,201.551,0.13645,171,-1.23165,0.720686,6255.24,1616,2257.87,0.258343,441
ALASKA ROSE,Unalaska,4585.98,847,613.333,3887.87,0.76349,460,nan,1.66667,6545.9,586,372,134.251,0.059891,279,0.0909065,1.0202,11131.9,1433,4022.12,0.128729,739
ARCTIC EXPLORER,Akutan pollock,5683.03,668,728,611.278,0.131513,546,nan,1.66667,7151.07,932,416,905.876,0.0819831,312,-0.290735,0.935392,12834.1,1600,1517.15,0.124668,858
BRISTOL EXPLORER,Akutan pollock,4048.18,518,522.667,1271.61,0.175397,392,nan,1.66667,5202.16,987,294.667,845.91,0.125796,221,-1.04761,0.76691,9250.34,1505,2117.52,0.162697,613
SOVEREIGNTY,Akutan pollock,6665.54,708,857.333,2846.25,0.169927,643,nan,1.66667,6000.91,927,344,1753.99,0.0722876,258,-0.123246,0.972612,12666.5,1635,4600.24,0.129081,901
ROYAL AMERICAN,Akutan pollock,2262.18,292,305.333,1038.89,0.207637,229,nan,1.66667,4943.2,898,306.667,1011.59,0.0793569,230,-0.245367,0.945474,7205.38,1190,2050.48,0.165154,459
SEA WOLF,Unalaska,4155.53,368,561.333,0,0.0885567,421,nan,1.66667,6168.48,886,349.333,1291.75,0.0676682,262,-0.0434454,0.990345,10324,1254,1291.75,0.121464,683
WESTWARD I,Westward,4951.08,868,641.333,1964.57,0.226016,481,nan,1.66667,6537.37,342,425.333,0,0.0523146,319,0.221788,1.04929,11488.5,1210,1964.57,0.105323,800
DEFENDER,Unisea,9250.3,1166,1208,2852.5,0.150833,906,nan,1.66667,12507,1120,810.667,0,0.0895497,608,-0.421448,0.906345,21757.3,2286,2852.5,0.105068,1514
AMERICAN EAGLE,Northern Victor,2619.3,461,369.333,1563.95,0.342066,277,nan,1.66667,3094.55,619,201.333,809.858,0.0827244,151,-0.30354,0.932547,5713.85,1080,2373.8,0.189014,428
ALASKAN COMMAND,Westward,9516.92,2021,1132,5249.4,0.333684,849,nan,1.66667,4926.54,1007,308,0,0.204403,231,-2.40554,0.333333,14443.5,3028,5249.4,0.209645,1080
COLUMBIA,Akutan pollock,3252.43,587,437.333,2358.49,0.412779,328,nan,1.66667,5274.01,1351,296,1110.29,0.0881424,222,-0.397137,0.911747,8526.44,1938,3468.78,0.227293,550
NORTHERN PATRIOT,Akutan pollock,5944.66,949,838.667,3716.72,0.30746,629,nan,1.66667,8963.49,1156,537.333,0,0.128968,403,-1.10239,0.753946,14908.1,2105,3716.72,0.141198,1032
