,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
SEADAWN,Unisea,3610.65,457,1253.66,0.177345,340,-0.182328,1,5739.63,229,0,0.0398981,217,0.089564,1,9350.27,686,1253.66,0.0733668,557
NORDIC STAR,Unisea,2662.93,205,0,0.076983,250,0.548473,1,3926.54,167,0,0.0425311,148,0.0271648,1,6589.46,372,0,0.0564538,398
COMMODORE,Northern Victor,4110.09,269,0,0.0654487,387,0.632462,1,4846.62,103,0,0.0212519,183,0.531449,1,8956.71,372,0,0.0415331,570
ARCTIC WIND,Westward,4490.68,484,1395.6,0.137638,422,0.106805,1,7136.41,446,137.069,0.0515763,269,-0.187192,1,11627.1,930,1532.67,0.0799856,691
ARCTURUS,Akutan pollock,4141.08,498,1083.25,0.151088,390,0.00886827,1,5805.61,1330,3597.41,0.106422,219,-1.48694,1,9946.69,1828,4680.66,0.18378,609
ALDEBARAN,Akutan pollock,3813.59,595,1323.81,0.186763,359,-0.250911,1,7219.93,861,2280.78,0.0720772,273,-0.673032,1,11033.5,1456,3604.59,0.131962,632
AURORA,Unisea,9035.08,871,0,0.096402,851,0.40707,1,13216.6,279,0,0.0211098,500,0.534818,1,22251.7,1150,0,0.0516814,1351
ALSEA,Unisea,4603.08,1001,2021.73,0.199895,433,-0.346534,1,7215.21,55,0,0.00762278,272,0.854439,1,11818.3,1056,2021.73,0.089353,705
ROYAL ATLANTIC,Northern Victor,3179.46,235,0,0.073912,299,0.570835,1,5178.73,45,0,0.00868939,195,0.829162,1,8358.18,280,0,0.0335001,494
PACIFIC PRINCE,Westward,8822.23,802,0,0.0909068,830,0.447085,1,11849.3,141,0,0.0118994,448,0.753089,1,20671.6,943,0,0.0456182,1278
VIKING,Westward,6069.34,1020,4004.68,0.286731,571,-0.978839,1,8179.59,134,0,0.0163822,309,0.646853,1,14248.9,1154,4004.68,0.0809885,880
DESTINATION,Unalaska,6016.61,972,1698.35,0.191049,566,-0.28212,1,8692.22,174,0,0.0200179,328,0.560693,1,14708.8,1146,1698.35,0.0779124,894
GREAT PACIFIC,Unalaska,3374.22,319,184.465,0.0996943,317,0.383097,1,4785.64,697,851.301,0.0521053,181,-0.199728,1,8159.86,1016,1035.77,0.124512,498
GLADIATOR,Akutan pollock,5255.57,829,1901.88,0.171751,495,-0.141596,1,5063.97,670,1486.76,0.0536732,191,-0.236886,1,10319.5,1499,3388.65,0.145258,686
