,,A Season,,,,,,,B Season,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PEGASUS,Akutan pollock,2147.95,101,0,0.0470216,1,203,0.0957506,1,0,0,0,nan,1,0,,,2147.95,101,0,0.0470216,203
RAVEN,Akutan pollock,2438.3,125,0,0.0512652,1,230,-0.0138416,1,0,0,0,nan,1,0,,,2438.3,125,0,0.0512652,230
PREDATOR,Akutan pollock,622.067,21,0,0.0337584,1,58,0.43828,1,0,0,0,nan,1,0,,,622.067,21,0,0.0337584,58
GREAT PACIFIC,Unalaska,3371.64,137,0,0.0406331,1,319,0.260738,1,4971.48,1665,1120.51,0.121009,1,183,-1.37294,1,8343.12,1802,1120.51,0.215986,502
PROGRESS,Unalaska,2580.81,143,0,0.0554089,1,244,-0.120856,1,4474.78,499,392.258,0.082302,1,165,-0.595422,1,7055.6,642,392.258,0.0909916,409
VIKING,Westward,5229,296,0,0.0566074,1,494,-0.151809,1,9339.69,269,0,0.0288018,1,345,0.479266,1,14568.7,565,0,0.0387818,839
INTREPID EXPLORER,Arctic Ent,1386.86,62,0,0.0447054,1,131,0.155568,1,0,0,0,nan,1,0,,,1386.86,62,0,0.0447054,131
NORDIC STAR,Unisea,3002.98,140,0,0.0466203,1,284,0.106114,1,5076.4,72,0,0.0141833,1,187,0.772916,1,8079.38,212,0,0.0262396,471
ANITA J,Northern Victor,2604.97,138,0,0.0529756,1,246,-0.0580152,1,5553.4,397,0,0.0714877,1,205,-0.378189,1,8158.37,535,0,0.0655768,451
POSEIDON,Northern Victor,2930.64,169,0,0.0576666,1,277,-0.179162,1,5494.57,764,717.422,0.0822667,1,203,-0.594712,1,8425.21,933,717.422,0.110739,480
MORNING STAR,Unalaska,4075.26,339,0,0.083185,1,385,-0.838188,1,7137.36,2616,1062.93,0.138778,1,264,-1.72989,1,11212.6,2955,1062.93,0.263542,649
PACIFIC PRINCE,Westward,8656.52,245,0,0.0283024,1,819,0.579185,1,10008,175,0,0.0174859,1,370,0.706574,1,18664.6,420,0,0.0225025,1189
WESTWARD I,Westward,5272.08,228,0,0.0432466,1,499,0.193241,1,3637.57,17,0,0.00467345,1,134,0.963946,1,8909.66,245,0,0.0274983,633
OCEAN EXPLORER,Akutan pollock,3476.57,157,0,0.0451595,1,329,0.143841,1,5535.07,60,0,0.01084,1,204,0.840075,1,9011.64,217,0,0.02408,533
AURORA,Unisea,8741.74,571,0,0.0653188,1,827,-0.376785,1,13030.8,691,0,0.0530283,1,482,-0.00738403,1,21772.5,1262,0,0.057963,1309
ALSEA,Unisea,4607.4,181,0,0.0392846,1,436,0.295563,1,6924.53,662,0,0.0956021,1,256,-0.862588,1,11531.9,843,0,0.0731013,692
AURIGA,Unisea,8447.87,594,0,0.0703136,1,799,-0.505777,1,13601.1,1045,0,0.0768318,1,503,-0.485537,1,22049,1639,0,0.0743344,1302
ROYAL ATLANTIC,Northern Victor,3361.35,156,0,0.04641,1,318,0.111546,1,5479.31,161,0,0.0293833,1,202,0.467586,1,8840.66,317,0,0.0358571,520
COMMODORE,Northern Victor,3388.08,232,0,0.0684754,1,320,-0.458307,1,4466.06,540,186.354,0.081314,1,165,-0.575575,1,7854.14,772,186.354,0.0982922,485
ALASKA ROSE,Unalaska,5376.35,245,0,0.04557,1,508,0.13324,1,7400.04,432,0,0.058378,1,273,-0.114848,1,12776.4,677,0,0.0529884,781
SEA WOLF,Unalaska,4588.45,158,0,0.0344343,1,434,0.420826,1,6757.6,1153,938.206,0.1196,1,250,-1.34465,1,11346.1,1311,938.206,0.115547,684
CHELSEA K,Westward,14417.2,823,0,0.0570845,1,1364,-0.164129,1,21692.3,1861,0,0.0857908,1,802,-0.665502,1,36109.5,2684,0,0.0743294,2166
ARCTURUS,Akutan pollock,4146.81,219,0,0.0528117,1,392,-0.053781,1,5753.99,1016,1251.96,0.0995106,1,212,-0.941099,1,9900.81,1235,1251.96,0.124737,604
STARFISH,Unisea,4384.03,264,0,0.0602186,1,414,-0.24507,1,6376.14,161,0,0.0252504,1,235,0.550605,1,10760.2,425,0,0.0394975,649
SEADAWN,Unisea,3599.38,198,0,0.0550095,1,340,-0.110541,1,7506.69,110,0,0.0146536,1,277,0.763469,1,11106.1,308,0,0.0277326,617
AMERICAN EAGLE,Northern Victor,2884.8,71,0,0.0246117,1,273,0.674497,1,4339.33,48,0,0.0110616,1,160,0.835623,1,7224.13,119,0,0.0164726,433
STARLITE,Unisea,3103.14,102,0,0.03287,1,293,0.461224,1,6105.15,76,0,0.0124485,1,225,0.807764,1,9208.29,178,0,0.0193304,518
NORDIC FURY,Northern Victor,343.146,5,0,0.0145711,1,32,0.933804,1,514.663,8,0,0.0155441,1,19,0.74558,1,857.81,13,0,0.0151549,51
