Date,Credits Available,Credits Needed (Estimated),Credits Needed(Actual),Vessels (out of credits), Vessels (out of pollock IFQ),Pollock, Pollock (std), Bycatch, Bycatch (std)
Jul-4-2000,14188,,,0,0,321.73,321.73,0,0
Jul-5-2000,14188,,,0,0,0,321.73,0,0
Jul-6-2000,14188,,,0,0,304.948,626.678,0,0
Jul-7-2000,14188,,,0,0,0,626.678,0,0
Jul-8-2000,14188,,,0,0,333.793,960.471,0,0
Jul-9-2000,14188,,,0,0,169.452,1129.92,0,0
Jul-10-2000,14188,,,0,0,0,1129.92,0,0
Jul-11-2000,14188,,,0,0,341.021,1470.94,0,0
Jul-12-2000,14188,,,0,0,0,1470.94,0,0
Jul-13-2000,14188,,,0,0,242.946,1713.89,0,0
Jul-14-2000,14188,,,0,0,367.404,2081.29,0,0
Jul-15-2000,14188,,,0,0,0,2081.29,0,0
Jul-16-2000,14188,,,0,0,176.354,2257.65,0,0
Jul-17-2000,14188,,,0,0,153.375,2411.02,0,0
Jul-18-2000,14188,,,0,0,305.644,2716.67,0,0
Jul-19-2000,14188,,,0,0,707.559,3424.23,0,0
Jul-20-2000,14188,,,0,0,337.82,3762.05,0,0
Jul-21-2000,14188,,,0,0,395.127,4157.17,0,0
Jul-22-2000,14188,,,0,0,757.141,4914.31,0,0
Jul-23-2000,14188,,,0,0,201.647,5115.96,0,0
Jul-24-2000,14186,,,0,0,1101.3,6217.26,2,2
Jul-25-2000,14186,,,0,0,1095.42,7312.68,0,2
Jul-26-2000,14186,,,0,0,1396.07,8708.75,0,2
Jul-27-2000,14127,,,0,0,2233.69,10942.4,59,61
Jul-28-2000,14127,,,0,0,2673.1,13615.5,0,61
Jul-29-2000,14126,,,0,0,1308.08,14923.6,1,62
Jul-30-2000,14124,,,0,0,2927.04,17850.7,2,64
Aug-1-2000,14124,,,0,0,2591.85,20442.5,0,64
Aug-1-2000,14121,,,0,0,2818.3,23260.8,3,67
Aug-2-2000,14117,,,0,0,3012.33,26273.1,4,71
Aug-3-2000,14113,,,0,0,2409.8,28682.9,4,75
Aug-4-2000,14112,,,0,0,1216.12,29899.1,1,76
Aug-5-2000,14110,,,0,0,2444.03,32343.1,2,78
Aug-6-2000,14103,,,0,0,3285.77,35628.9,7,85
Aug-7-2000,14102,,,0,0,3848.99,39477.9,1,86
Aug-8-2000,14101,,,0,0,4369.14,43847,1,87
Aug-9-2000,14097,,,0,0,2126.98,45974,4,91
Aug-10-2000,14092,,,0,0,1713.29,47687.3,5,96
Aug-11-2000,14089,,,0,0,2875.7,50563,3,99
Aug-12-2000,14084,,,0,0,3346.28,53909.2,5,104
Aug-13-2000,14084,,,0,0,2717.81,56627,0,104
Aug-14-2000,14083,,,0,0,2218.57,58845.6,1,105
Aug-15-2000,14080,,,0,0,4453.86,63299.5,3,108
