Date,Credits Available,Credits Needed (Estimated),Credits Needed(Actual),Vessels (out of credits), Vessels (out of pollock IFQ),Pollock, Pollock (std), Bycatch, Bycatch (std)
Jan-21-2007,23805,,,0,0,1732.25,1732.25,173,173
Jan-22-2007,23145,,,0,0,3722.68,5454.92,660,833
Jan-23-2007,22212,,,0,0,3596.62,9051.54,933,1766
Jan-24-2007,21235,,,0,0,4070.53,13122.1,977,2743
Jan-25-2007,20164,,,0,0,4491.83,17613.9,1071,3814
Jan-26-2007,19529,,,0,0,3313.02,20926.9,635,4449
Jan-27-2007,18988,,,0,0,2667.9,23594.8,541,4990
Jan-28-2007,16448,,,3,0,4117.38,27712.2,2846,7836
Feb-1-2007,11749,,,11,0,5595.65,33307.8,5658,13494
Feb-2-2007,9289,,,20,0,4448.96,37756.8,4292,17786
Feb-3-2007,7300,,,22,0,2314.68,40071.5,2358,20144
Feb-1-2007,7221,,,22,0,1971.68,42043.2,322,20466
Feb-2-2007,6962,,,22,0,4463.55,46506.7,377,20843
Feb-3-2007,6636,,,23,0,3898.12,50404.8,453,21296
Feb-4-2007,6502,,,24,0,4304.76,54709.6,559,21855
Feb-5-2007,6448,,,24,0,4127.29,58836.9,443,22298
Feb-6-2007,6424,,,24,0,1509.61,60346.5,87,22385
Feb-7-2007,6247,,,24,0,4262.52,64609,332,22717
Feb-8-2007,5964,,,24,0,4062.35,68671.4,435,23152
Feb-9-2007,5829,,,25,0,5502.19,74173.6,418,23570
Feb-10-2007,5726,,,27,1,4025.32,78198.9,177,23747
Feb-11-2007,5416,,,27,1,4623.51,82822.4,550,24297
Feb-12-2007,5251,,,27,1,3821.28,86643.7,894,25191
Feb-13-2007,5066,,,28,2,4505.04,91148.7,559,25750
Feb-14-2007,4817,,,29,2,4801.15,95949.9,756,26506
Feb-15-2007,4319,,,32,3,4558.5,100508,840,27346
Feb-16-2007,4167,,,32,3,4958.18,105467,318,27664
Feb-17-2007,3882,,,33,3,4370.26,109837,981,28645
Feb-18-2007,3301,,,35,3,3081.56,112918,1220,29865
Feb-19-2007,3052,,,36,3,2705.64,115624,847,30712
Feb-20-2007,2995,,,37,3,3865.94,119490,575,31287
Feb-21-2007,2973,,,37,4,3777.56,123268,100,31387
Feb-22-2007,2845,,,38,4,5010.88,128278,395,31782
Feb-23-2007,2805,,,38,5,4060.9,132339,177,31959
Feb-24-2007,2797,,,38,6,4337.15,136676,141,32100
Feb-25-2007,2751,,,38,7,4228.44,140905,120,32220
Feb-26-2007,2655,,,38,8,4237.78,145143,148,32368
Feb-27-2007,2619,,,39,9,4491.16,149634,175,32543
Feb-28-2007,2572,,,39,9,4265.37,153899,99,32642
Mar-1-2007,2539,,,39,9,4419.7,158319,222,32864
Mar-2-2007,2402,,,40,10,3724.3,162043,239,33103
Mar-3-2007,2396,,,40,10,3878.3,165921,223,33326
Mar-4-2007,2393,,,40,11,4615.41,170537,46,33372
Mar-5-2007,2384,,,40,12,3536.94,174074,11,33383
Mar-6-2007,2368,,,41,14,4790.07,178864,84,33467
Mar-7-2007,2367,,,41,15,2926.69,181791,29,33496
Mar-8-2007,2328,,,41,17,3467.46,185258,41,33537
Mar-9-2007,2268,,,41,18,2712.91,187971,160,33697
Mar-10-2007,2256,,,41,19,2924.92,190896,65,33762
Mar-11-2007,2256,,,41,19,789.2,191685,7,33769
Mar-12-2007,2231,,,42,20,3902.84,195588,240,34009
Mar-13-2007,2109,,,43,21,2406.99,197995,171,34180
Mar-14-2007,2035,,,43,24,4406.81,202402,180,34360
Mar-15-2007,2031,,,43,25,3576.85,205979,114,34474
Mar-16-2007,1928,,,43,27,3477.77,209456,183,34657
Mar-17-2007,1868,,,43,33,4476.83,213933,262,34919
Mar-18-2007,1867,,,43,36,3763.23,217696,100,35019
Mar-19-2007,1821,,,43,40,3438.92,221135,104,35123
Mar-20-2007,1778,,,43,41,2580.95,223716,127,35250
Mar-21-2007,1762,,,44,43,2350.14,226066,61,35311
Mar-22-2007,1751,,,44,46,3167.98,229234,96,35407
Mar-23-2007,1686,,,45,51,2965.43,232200,249,35656
Mar-24-2007,1643,,,45,55,2220.94,234421,109,35765
Mar-25-2007,1591,,,45,61,2043.61,236464,140,35905
Mar-26-2007,1568,,,45,66,1740.43,238205,259,36164
Mar-27-2007,1537,,,45,71,991.636,239196,169,36333
Mar-28-2007,1531,,,45,74,538.886,239735,6,36339
