,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
SEADAWN,Unisea,3610.65,304,0,0.0858571,1.00278,339,0.085468,1.01899,5739.63,152,0,0.0275279,1.07498,238,0.211762,1.04706,9350.27,456,0,0.0487686,577
NORDIC STAR,Unisea,2662.93,135,0,0.0518227,1.01097,252,0.464752,1.10328,3926.54,105,0,0.0292879,1.05874,160,0.163089,1.03624,6589.46,240,0,0.0364218,412
COMMODORE,Northern Victor,4110.09,165,0,0.0425781,0.957995,368,0.567775,1.12617,4846.62,58,0,0.0138241,0.916758,171,0.590756,1.13128,8956.71,223,0,0.0248975,539
ARCTIC WIND,Westward,4490.68,323,0,0.0728175,1.03045,433,0.230784,1.05129,7136.41,295,0,0.0425984,1.00886,277,-0.205028,0.954438,11627.1,618,0,0.0531517,710
ARCTURUS,Akutan pollock,4141.08,319,0,0.0796894,0.991601,384,0.154202,1.03427,5805.61,864,2332.88,0.089843,0.92735,207,-1.51162,0.63035,9946.69,1183,2332.88,0.118934,591
ALDEBARAN,Akutan pollock,3813.59,392,877.033,0.125657,1.0221,365,-0.35807,0.920429,7219.93,527,2280.78,0.0463643,0.819781,228,-0.309175,0.931294,11033.5,919,3157.81,0.0832917,593
AURORA,Unisea,9035.08,574,0,0.0646369,0.977714,827,0.321949,1.07154,13216.6,180,0,0.0143002,1.01267,516,0.577589,1.12835,22251.7,754,0,0.033885,1343
ALSEA,Unisea,4603.08,670,1238.97,0.1516,1.02795,443,-0.647181,0.856182,7215.21,32,0,0.00512805,0.96625,269,0.831252,1.18472,11818.3,702,1238.97,0.0593995,712
ROYAL ATLANTIC,Northern Victor,3179.46,154,0,0.0500086,1.01857,303,0.48497,1.10777,5178.73,25,0,0.00579293,1.05994,211,0.812865,1.18064,8358.18,179,0,0.0214161,514
PACIFIC PRINCE,Westward,8822.23,531,0,0.0613224,1.04035,859,0.358887,1.07975,11849.3,91,0,0.00818611,1.07817,493,0.746679,1.16593,20671.6,622,0,0.0300896,1352
VIKING,Westward,6069.34,678,2403.26,0.163663,0.994764,565,-0.781607,0.82631,8179.59,80,0,0.0111252,1.02947,324,0.665394,1.14787,14248.9,758,2403.26,0.053197,889
DESTINATION,Unalaska,6016.61,646,1225.58,0.121895,1.00807,568,-0.316138,0.929747,8692.22,100,0,0.0124249,0.802156,269,0.629451,1.13988,14708.8,746,1225.58,0.0507179,837
GREAT PACIFIC,Unalaska,3374.22,207,0,0.0631258,1.0269,324,0.33879,1.07529,4785.64,394,487.82,0.0586343,0.757232,139,-0.648515,0.855885,8159.86,601,487.82,0.0736532,463
GLADIATOR,Akutan pollock,5255.57,551,930.934,0.12001,0.99862,491,-0.295136,0.934414,5063.97,443,1110.69,0.0627328,1.03245,201,-0.761863,0.830697,10319.5,994,2041.63,0.0963221,692
ROYAL AMERICAN,Akutan pollock,2703.96,222,0,0.0846907,1.02559,259,0.098467,1.02188,5102.26,192,0,0.0395903,1.07448,211,-0.121834,0.972926,7806.22,414,0,0.0530346,470
AURIGA,Unisea,8377.68,921,3359.1,0.162596,0.962336,755,-0.769721,0.828951,13602.4,289,0,0.0222755,0.979694,514,0.357023,1.07934,21980.1,1210,3359.1,0.0550499,1269
STARLITE,Unisea,3186.17,335,1081.51,0.152518,1.05018,313,-0.657413,0.853908,5807.39,30,0,0.00602681,1.07257,240,0.806396,1.1792,8993.56,365,1081.51,0.0405846,553
DEFENDER,Unisea,9752.68,999,2770.18,0.133333,1.01874,930,-0.443612,0.90142,14840.6,124,0,0.00869239,1.05002,601,0.732677,1.16282,24593.3,1123,2770.18,0.0456629,1531
VIKING EXPLORER,Akutan pollock,3287.39,358,212.879,0.118393,0.989648,304,-0.277114,0.938419,5778.05,677,1919.94,0.0544308,0.939533,209,-0.532263,0.881719,9065.43,1035,2132.82,0.11417,513
ALASKA ROSE,Unalaska,4882.24,458,0,0.095448,1.01439,463,-0.0214143,0.995241,6685.4,399,372.801,0.0426132,0.983985,253,-0.205436,0.954348,11567.6,857,372.801,0.074086,716
SEA WOLF,Unalaska,4756.68,451,0,0.0960754,1.04396,465,-0.0284053,0.993688,7161.54,298,427.348,0.0396484,0.875345,241,-0.123441,0.972569,11918.2,749,427.348,0.0628449,706
BERING ROSE,Unalaska,4942.5,504,0,0.103187,1.00996,467,-0.107654,0.976077,7693.81,502,441.581,0.0405392,0.873232,259,-0.148078,0.967094,12636.3,1006,441.581,0.0796118,726
PACIFIC EXPLORER,Akutan pollock,4258.12,292,0,0.0702188,1.07878,430,0.259744,1.05772,5406.95,299,0,0.0569638,1.07395,224,-0.602315,0.866152,9665.06,591,0,0.0611481,654
NORTHERN PATRIOT,Akutan pollock,6455.62,297,0,0.0477104,1.01535,613,0.510581,1.11346,11943.1,623,0,0.0531687,0.97706,450,-0.497358,0.889476,18398.7,920,0,0.0500034,1063
PACIFIC VIKING,Akutan pollock,2712.29,123,0,0.0479299,0.936211,237,0.508134,1.11292,4479.35,563,1325.47,0.0919503,0.979819,169,-1.5699,0.607039,7191.65,686,1325.47,0.0953885,406
AMERICAN EAGLE,Northern Victor,3050.12,180,0,0.0616369,1.05048,300,0.355382,1.07897,4467.61,33,0,0.00850567,1.07132,184,0.737841,1.16396,7517.73,213,0,0.028333,484
STARFISH,Unisea,4584.38,251,0,0.056278,0.984938,422,0.415102,1.09224,7519.86,60,0,0.00890975,1.00222,290,0.726666,1.16148,12104.2,311,0,0.0256935,712
GUN-MAR,Unisea,6688.75,494,0,0.0747524,1.04047,651,0.209221,1.04649,9942.29,29,0,0.00362089,1.084,415,0.872934,1.19399,16631,523,0,0.0314472,1066
CHELSEA K,Westward,13749.8,1828,7600.61,0.224095,0.988568,1273,-1.45508,0.651211,19371.4,155,0,0.00846609,0.949363,709,0.738936,1.16421,33121.2,1983,7600.61,0.0598711,1982
MORNING STAR,Unalaska,4597.83,456,0,0.100482,0.936824,403,-0.077515,0.982774,8052.88,422,0,0.0530245,0.87312,271,-0.493371,0.890362,12650.7,878,0,0.0694032,674
PROGRESS,Unalaska,2602.25,174,0,0.0695551,1.00576,245,0.26714,1.05936,3973.71,238,113.567,0.0556975,0.937963,143,-0.567294,0.873935,6575.96,412,113.567,0.0626525,388
NORTHWEST EXPLORER,Akutan pollock,4494.2,253,0,0.0576298,0.978747,411,0.400037,1.0889,2976.42,293,624.986,0.106743,0.83918,96,-1.97902,0.353537,7470.62,546,624.986,0.0730863,507
SOVEREIGNTY,Akutan pollock,6175.69,522,0,0.0859823,1.00335,580,0.0840729,1.01868,9525.45,463,525.108,0.0447761,0.884409,325,-0.265252,0.941055,15701.1,985,525.108,0.0627343,905
ARCTIC EXPLORER,Akutan pollock,3790.25,564,1224.6,0.140316,1.007,357,-0.521424,0.884128,5838.11,410,972.7,0.0456282,0.983117,221,-0.288818,0.935818,9628.36,974,2197.3,0.101159,578
ARGOSY,Unisea,4618.49,303,0,0.066472,0.996838,431,0.301499,1.067,6511.69,82,0,0.0136677,0.796263,200,0.595079,1.13224,11130.2,385,0,0.0345907,631
FIERCE ALLEGIANCE,Unisea,5800.03,698,2554.25,0.17284,0.982076,533,-0.883878,0.803583,7809.09,47,0,0.00678696,1.07304,323,0.785374,1.17453,13609.1,745,2554.25,0.0547427,856
OCEAN LEADER,Peter Pan,775.743,11,0,0.015469,1.08864,79,0.869883,1.19331,280.888,20,0,0.0747629,1.07123,11,-1.09457,0.755836,1056.63,31,0,0.0293385,90
AMERICAN BEAUTY,Peter Pan,1140.3,44,0,0.0429713,1.01472,108,0.563394,1.1252,3791.12,273,197.341,0.0634429,1.08765,159,-0.781501,0.826333,4931.42,317,197.341,0.0642817,267
ALASKAN COMMAND,Westward,10065.8,1780,6644.87,0.320379,0.961645,906,-2.52808,0.333333,13718.6,246,0,0.018515,0.933987,494,0.461023,1.10245,23784.4,2026,6644.87,0.0851818,1400
COLUMBIA,Akutan pollock,3725.67,396,876.058,0.135106,1.01556,354,-0.463369,0.897029,5954.39,424,1585.63,0.0531043,0.998972,229,-0.495577,0.889872,9680.06,820,2461.69,0.0847102,583
DOMINATOR,Akutan pollock,5098.39,451,0,0.0898322,1.03108,492,0.0411693,1.00915,7936.26,554,770.724,0.0459142,0.934782,286,-0.296729,0.93406,13034.7,1005,770.724,0.0771022,778
BRISTOL EXPLORER,Akutan pollock,5890.37,645,2797.56,0.190442,1.03867,573,-1.08004,0.759309,5059.61,365,1139.3,0.0492308,0.921373,179,-0.388453,0.913677,10950,1010,3936.86,0.0922376,752
