,,A Season,,,,,,,,,,CARRY-FORWARD,B Season,,,,,,,,,,2000
Vessel Name,Coop,Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,credits (carry-forward),Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,Pollock,Bycatch,Bycatch Rate,Credits,Unfished Pollock
VIKING EXPLORER,Akutan pollock,2291.57,3,0.00130915,306,,,0,0,0.602585,1.301,303,3436.5,6,0.00174596,182,,,0,0,0.270106,1.14189,5728.08,9,0.00157121,488,0
GOLDEN DAWN,Akutan pollock,4135.09,60,0.01451,553,,,0,0,-1.96228,0.365892,493,6662.48,23,0.00345217,353,,,0,0,-0.422803,0.77813,10797.6,83,0.00768691,906,0
RAVEN,Akutan pollock,1700.2,11,0.00646982,227,,,0,0,-0.400112,0.787871,216,0,0,nan,0,,,,,,,1700.2,11,0.00646982,227,0
ARCTURUS,Akutan pollock,3120.58,18,0.00576816,417,,,0,0,-0.263783,0.858107,399,5501.42,7,0.0012724,291,,,0,0,0.462425,1.23632,8622,25,0.00289956,708,0
PACIFIC VIKING,Akutan pollock,2573.18,8,0.00310899,344,,,0,0,0.252883,1.13161,336,4983.98,5,0.00100321,264,,,0,0,0.571744,1.28755,7557.16,13,0.00172022,608,0
ALDEBARAN,Akutan pollock,3168.5,13,0.00410289,423,,,0,0,0.0597729,1.02659,410,4498.64,7,0.00155603,238,,,0,0,0.347241,1.17743,7667.14,20,0.00260853,661,0
DOMINATOR,Akutan pollock,4272.03,26,0.0060861,571,,,0,0,-0.325557,0.8276,545,5371.54,4,0.000744665,284,,,0,0,0.676744,1.33143,9643.57,30,0.00311088,855,0
SOVEREIGNTY,Akutan pollock,5725.89,61,0.0106534,766,,,0,0,-1.21296,0.481643,705,6960.1,47,0.00675278,368,,,0,0,-1.76322,0.384485,12686,108,0.00851333,1134,0
NORTHERN PATRIOT,Akutan pollock,4760.7,63,0.0132333,636,,,0,0,-1.71424,0.390288,573,7385.06,17,0.00230195,391,,,0,0,0.0443147,1.02127,12145.8,80,0.00658666,1027,0
GLADIATOR,Akutan pollock,3420.67,13,0.00380042,457,,,0,0,0.11854,1.05839,444,5781.57,12,0.00207556,306,,,0,0,0.136252,1.06896,9202.24,25,0.00271673,763,0
COLUMBIA,Akutan pollock,3095.29,14,0.00452301,414,,,0,0,-0.021855,0.984045,400,4194.57,22,0.00524488,222,,,0,0,-1.15084,0.497366,7289.86,36,0.00493837,636,0
NORDIC EXPLORER,Akutan pollock,2270.7,5,0.00220196,303,,,0,0,0.429114,1.21701,298,4797.06,1,0.000208461,254,,,0,0,0.894503,1.41769,7067.76,6,0.000848926,557,0
DONA MARTITA,Westward,5348.31,42,0.00785295,715,,,0,0,-0.668848,0.668572,673,6196.35,17,0.00274355,328,,,0,0,-0.135026,0.925773,11544.7,59,0.00511059,1043,0
INTREPID EXPLORER,Arctic Ent,2317.48,1,0.000431504,310,,,0,0,0.773107,1.37247,309,4357.99,9,0.00206517,230,,,0,0,0.140471,1.07423,6675.47,10,0.00149802,540,0
MAJESTY,Akutan pollock,640.265,13,0.0203041,85,,,0,0,-3.08806,0.333333,72,0,0,nan,0,,,,,,,640.265,13,0.0203041,85,0
COMMODORE,Northern Victor,3307.13,48,0.0145141,442,,,0,0,-1.96309,0.365892,394,3324.97,3,0.000902264,176,,,0,0,0.612741,1.30543,6632.1,51,0.00768988,618,0
VIKING,Westward,3251.91,4,0.00123005,435,,,0,0,0.617954,1.30543,431,5446.73,17,0.00312114,288,,,0,0,-0.288368,0.847877,8698.64,21,0.00241417,723,0
ROYAL AMERICAN,Akutan pollock,1832.5,14,0.00763985,245,,,0,0,-0.627445,0.685796,231,3597.98,9,0.00250141,190,,,0,0,-0.0366886,0.978729,5430.47,23,0.00423536,435,0
CHELSEA K,Westward,10632.1,11,0.0010346,1422,,,0,0,0.655928,1.32287,1411,13431.5,43,0.00320142,711,,,0,0,-0.320974,0.8276,24063.6,54,0.00224405,2133,0
WESTWARD I,Westward,3116.96,26,0.00834146,417,,,0,0,-0.763765,0.627533,391,4562.64,8,0.00175337,241,,,0,0,0.267096,1.13676,7679.59,34,0.00442732,658,0
