,,A Season,,,,,,,,,,CARRY-FORWARD,B Season,,,,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,credits (carry-forward),Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,Pollock,Bycatch,Bycatch Rate,Credits,Unfished Pollock
STORM PETREL,Northern Victor,3461.1,568,0.16411,385,Feb-13-2007,158,2324.04,6485.55,-0.502368,0.740034,0,4340.83,744,0.171396,215,Oct-12-2007,413,559.317,358.277,-0.822206,0.604359,7801.93,1312,0.168164,600,2883.36
ARCTURUS,Akutan pollock,4565.56,460,0.100754,459,Mar-20-2007,0,212.429,inf,0.304914,1.15722,0,3554.82,1290,0.362887,117,Sep-15-2007,1089,2079.78,505.243,-2.98224,0.335193,8120.38,1750,0.215507,576,2292.21
RAVEN,Akutan pollock,2306.13,41,0.0177787,283,,,0,0,1.3622,1.55078,242,0,0,nan,0,,,,,,,2306.13,41,0.0177787,283,0
PROGRESS,Unalaska,2352.51,224,0.0952174,250,,,0,0,0.375466,1.19241,26,3935.25,407,0.103424,159,Oct-19-2007,219,507.031,612.493,-0.0554836,0.968104,6287.76,631,0.100354,409,507.031
ARCTIC WIND,Westward,4612.7,744,0.161294,494,Jan-28-2007,213,3907.93,8089.6,-0.466488,0.758903,0,5264.53,258,0.0490072,240,Oct-31-2007,0,0,0,0.558341,1.27845,9877.23,1002,0.101445,734,3907.93
PEGASUS,Akutan pollock,2066.57,58,0.0280658,256,,,0,0,1.23112,1.52087,198,326.182,29,0.0889074,16,,,0,0,0.108266,1.0531,2392.76,87,0.0363597,272,0
GREAT PACIFIC,Unalaska,3064.31,201,0.0655939,339,,,0,0,0.752932,1.3645,138,3826.46,599,0.156541,129,Oct-29-2007,209,132.212,167.354,-0.654649,0.672836,6890.77,800,0.116097,468,132.212
NORDIC STAR,Unisea,2578.51,414,0.160558,291,Jan-29-2007,99,1977.21,8805.95,-0.457111,0.763677,0,4000.08,62,0.0154997,194,,,0,0,0.936307,1.43175,6578.59,476,0.072356,485,1977.21
SEADAWN,Unisea,3579.56,710,0.198348,357,Jan-29-2007,297,2675.1,3971.39,-0.93864,0.564812,0,2620.91,310,0.118279,129,Oct-9-2007,175,863.113,1304.79,-0.223052,0.878728,6200.47,1020,0.164504,486,3538.21
POSEIDON,Northern Victor,3288.51,945,0.287365,339,Jan-29-2007,478,2572.33,2372.79,-2.07289,0.35835,0,3346.67,573,0.171215,158,Oct-10-2007,363,413.283,301.198,-0.820168,0.604359,6635.17,1518,0.228781,497,2985.61
PACIFIC PRINCE,Westward,5679.85,1324,0.233105,637,Jan-30-2007,226,4216.64,8226.55,-1.38151,0.443019,0,8370.82,2490,0.297462,436,Oct-15-2007,1883,1419.53,199.437,-2.24423,0.349633,14050.7,3814,0.271446,1073,5636.17
BERING ROSE,Unalaska,4794.26,518,0.108046,453,Mar-2-2007,1,1007.16,444076,0.212004,1.11089,0,6297.62,637,0.101149,232,Oct-28-2007,284,358.675,334.114,-0.0298232,0.984045,11091.9,1155,0.10413,685,1365.83
GOLDEN DAWN,Akutan pollock,5388.01,725,0.134558,573,Feb-22-2007,99,2498.55,11127.9,-0.125816,0.931044,0,7617.89,1130,0.148335,325,Oct-4-2007,761,1608,559.002,-0.56208,0.712452,13005.9,1855,0.142628,898,4106.56
DESTINATION,Unalaska,5983.16,881,0.147247,550,Feb-15-2007,276,2955.63,4721.73,-0.287496,0.847877,0,7027.24,1345,0.191398,323,Oct-10-2007,898,1550.16,456.679,-1.04783,0.529145,13010.4,2226,0.171094,873,4505.79
VIKING,Westward,3603.02,658,0.182624,322,Jan-30-2007,80,2587.2,14259.4,-0.738284,0.639533,0,7396.96,380,0.0513725,373,Nov-1-2007,0,0,0,0.531661,1.26926,11000,1038,0.0943638,695,2587.2
DOMINATOR,Akutan pollock,4285.34,447,0.104309,431,Mar-24-2007,0,0,0,0.25962,1.13161,0,6992.6,874,0.124989,274,Oct-5-2007,568,1119.56,521.445,-0.29874,0.842785,11277.9,1321,0.117131,705,1119.56
AMERICAN BEAUTY,Peter Pan,1671.7,464,0.277562,196,Jan-28-2007,234,977.634,1842.13,-1.948,0.367451,0,1978.11,3,0.0015166,84,,,0,0,1.09404,1.48286,3649.81,467,0.127952,280,977.634
AURORA,Unisea,8382.02,1062,0.1267,884,Mar-12-2007,59,1145.03,8557.03,-0.0256854,0.984045,0,11900.8,552,0.0463835,593,,,0,0,0.587936,1.29206,20282.8,1614,0.0795748,1477,1145.03
ALSEA,Unisea,4436.57,1536,0.346213,379,Jan-30-2007,500,3049.31,2689,-2.82275,0.336437,0,6541.26,39,0.00596215,328,,,0,0,1.04389,1.46777,10977.8,1575,0.143471,707,3049.31
ROYAL ATLANTIC,Northern Victor,3064.3,395,0.128904,353,Feb-9-2007,38,1846.6,21426.4,-0.0537684,0.968104,0,4473.5,247,0.055214,232,Oct-23-2007,0,0,0,0.488328,1.24585,7537.8,642,0.0851707,585,1846.6
PACIFIC VIKING,Akutan pollock,2002.55,339,0.169285,216,Feb-4-2007,56,865.727,6816.36,-0.568306,0.712452,0,4449.48,767,0.17238,147,Oct-12-2007,519,728.945,371.568,-0.833303,0.600606,6452.03,1106,0.171419,363,1594.67
NORTHWEST EXPLORER,Akutan pollock,4603.86,950,0.206349,501,Jan-30-2007,405,3790.55,4126.74,-1.04058,0.529145,0,5545.67,804,0.144978,184,Oct-12-2007,354,1278.8,955.672,-0.524212,0.730741,10149.5,1754,0.172816,685,5069.35
MORNING STAR,Unalaska,4212.05,1061,0.251896,370,Jan-28-2007,453,3523.16,3429.21,-1.62095,0.402068,0,6248.25,966,0.154603,232,Oct-11-2007,660,919.533,368.582,-0.632787,0.681448,10460.3,2027,0.19378,602,4442.69
VIKING EXPLORER,Akutan pollock,3366.05,752,0.223407,302,Jan-30-2007,401,2721.25,2992.15,-1.25794,0.47178,0,4978.82,1262,0.253473,171,Sep-24-2007,1031,1233.18,316.43,-1.74804,0.386746,8344.87,2014,0.241346,473,3954.42
CHELSEA K,Westward,13287.5,2114,0.159097,1120,Jan-31-2007,755,10806.1,6310.77,-0.43849,0.773291,0,15845.3,848,0.0535175,776,Nov-1-2007,0,0,0,0.507465,1.25528,29132.8,2962,0.101672,1896,10806.1
GLADIATOR,Akutan pollock,3866.39,551,0.14251,355,Feb-14-2007,100,1394.03,6146.57,-0.227143,0.878728,0,2805.43,904,0.322233,110,Sep-15-2007,791,1945.75,650.76,-2.52365,0.340938,6671.82,1455,0.218081,465,3339.78
AURIGA,Unisea,7941.05,1557,0.19607,691,Jan-31-2007,668,6288.65,4150.89,-0.909607,0.575215,0,12735.6,478,0.0375326,609,,,0,0,0.687775,1.33566,20676.6,2035,0.0984203,1300,6288.65
STARFISH,Unisea,4308.93,682,0.158276,471,Feb-5-2007,173,2964.51,7555.55,-0.428033,0.77813,0,5901.05,225,0.0381288,295,,,0,0,0.68105,1.33566,10210,907,0.0888347,766,2964.51
STARLITE,Unisea,3488.24,413,0.118398,337,Feb-20-2007,28,1776.27,27971.2,0.080097,1.04251,0,4404.23,16,0.00363287,229,,,0,0,1.07017,1.47692,7892.46,429,0.0543556,566,1776.27
COMMODORE,Northern Victor,2594.55,839,0.323371,289,Jan-30-2007,340,2056.32,2666.68,-2.53169,0.340723,0,3660.69,777,0.212255,172,Sep-23-2007,599,616.815,272.42,-1.2831,0.4647,6255.24,1616,0.258343,461,2673.13
ALASKA ROSE,Unalaska,4585.98,847,0.184693,445,Jan-29-2007,314,3887.87,5459.36,-0.764647,0.627533,0,6545.9,586,0.0895216,270,Oct-30-2007,202,134.251,175.824,0.101337,1.0531,11131.9,1433,0.128729,715,4022.12
ARCTIC EXPLORER,Akutan pollock,5683.03,668,0.117543,475,Feb-17-2007,169,3366.55,8783.3,0.0909916,1.04781,0,7151.07,932,0.13033,289,Sep-22-2007,593,1281,571.485,-0.358985,0.812565,12834.1,1600,0.124668,764,4647.54
