Date, Vessels (out of credits),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Jan-21-2001,0,632.19,632.19,8,8,0.0126544
Jan-22-2001,0,1415.12,2047.3,41,49,0.0289729
Jan-23-2001,0,942.915,2990.22,6,55,0.00636325
Jan-24-2001,0,1225.53,4215.75,29,84,0.0236631
Jan-25-2001,0,2153.74,6369.5,54,138,0.0250726
Jan-26-2001,0,741.734,7111.23,22,160,0.0296602
Jan-27-2001,0,2327.46,9438.69,58,218,0.0249199
Jan-28-2001,0,2938.11,12376.8,60,278,0.0204213
Jan-29-2001,0,3440.85,15817.7,113,391,0.0328407
Jan-30-2001,0,4378.55,20196.2,111,502,0.0253509
Jan-31-2001,0,4495.65,24691.9,188,690,0.0418182
Feb-1-2001,0,4276.46,28968.3,180,870,0.0420908
Feb-2-2001,0,4817,33785.3,189,1059,0.039236
Feb-3-2001,0,4945.82,38731.1,226,1285,0.0456952
Feb-4-2001,0,4642.61,43373.7,258,1543,0.0555722
Feb-5-2001,0,3851.34,47225.1,141,1684,0.0366107
Feb-6-2001,0,5126.67,52351.7,243,1927,0.0473992
Feb-7-2001,0,4257.59,56609.3,221,2148,0.0519073
Feb-8-2001,0,4616.09,61225.4,241,2389,0.0522087
Feb-9-2001,0,3424.38,64649.8,112,2501,0.0327067
Feb-10-2001,0,2649.8,67299.6,123,2624,0.0464186
Feb-11-2001,0,3899.8,71199.4,42,2666,0.0107698
Feb-12-2001,0,3803.4,75002.8,27,2693,0.00709891
Feb-13-2001,0,4486.07,79488.9,73,2766,0.0162726
Feb-14-2001,0,3005.19,82494.1,66,2832,0.021962
Feb-15-2001,0,3778.13,86272.2,171,3003,0.0452605
Feb-16-2001,0,3832.91,90105.1,30,3033,0.00782696
Feb-17-2001,0,2898.43,93003.5,38,3071,0.0131105
Feb-18-2001,0,2862.93,95866.5,39,3110,0.0136224
Feb-19-2001,0,4361.55,100228,86,3196,0.0197178
Feb-20-2001,0,3268.01,103496,100,3296,0.0305997
Feb-21-2001,0,4848.15,108344,153,3449,0.0315585
Feb-22-2001,0,4463.47,112808,112,3561,0.0250926
Feb-23-2001,0,3743.87,116552,163,3724,0.0435378
Feb-24-2001,0,2778.78,119330,52,3776,0.0187132
Feb-25-2001,0,4798.54,124129,196,3972,0.0408458
Feb-26-2001,0,3793.77,127923,60,4032,0.0158154
Feb-27-2001,0,4719.03,132642,41,4073,0.00868823
Feb-28-2001,0,4232.5,136874,35,4108,0.00826935
Mar-1-2001,0,3167.64,140042,45,4153,0.0142061
Mar-2-2001,0,3856.55,143898,40,4193,0.010372
Mar-3-2001,0,4394.34,148293,55,4248,0.0125161
Mar-4-2001,0,5386.86,153680,72,4320,0.0133659
Mar-5-2001,0,3861.31,157541,145,4465,0.0375521
Mar-6-2001,0,3868.89,161410,141,4606,0.0364446
Mar-7-2001,0,3676.33,165086,79,4685,0.0214888
Mar-8-2001,0,5162.51,170249,170,4855,0.0329297
Mar-9-2001,0,2947.59,173196,90,4945,0.0305334
Mar-10-2001,0,2441.33,175637,71,5016,0.0290824
Mar-11-2001,0,4035.18,179673,77,5093,0.0190822
Mar-12-2001,0,3351.2,183024,40,5133,0.011936
Mar-13-2001,0,2589.39,185613,101,5234,0.0390053
Mar-14-2001,0,3405.28,189019,105,5339,0.0308345
Mar-15-2001,0,4070.35,193089,55,5394,0.0135124
Mar-16-2001,0,3484.48,196573,30,5424,0.0086096
Mar-17-2001,0,2095.37,198669,30,5454,0.0143173
Mar-18-2001,0,3374.36,202043,73,5527,0.0216337
Mar-19-2001,0,3795.51,205839,114,5641,0.0300355
Mar-20-2001,0,2446.1,208285,53,5694,0.0216671
Mar-21-2001,0,1739.66,210024,45,5739,0.0258671
Mar-22-2001,0,3490.97,213515,49,5788,0.0140362
Mar-23-2001,0,1948.91,215464,8,5796,0.00410485
Mar-24-2001,0,3021.12,218485,29,5825,0.00959909
Mar-25-2001,0,1189.75,219675,28,5853,0.0235344
Mar-26-2001,0,1416.97,221092,17,5870,0.0119974
Mar-27-2001,0,2050.55,223143,21,5891,0.0102411
Mar-28-2001,0,1454.87,224598,54,5945,0.0371167
Mar-29-2001,0,634.325,225232,0,5945,0
Mar-30-2001,0,929.449,226161,7,5952,0.00753134
Mar-31-2001,0,1199.02,227360,16,5968,0.0133442
Apr-1-2001,0,919.495,228280,8,5976,0.00870043
Apr-2-2001,0,1351.24,229631,30,6006,0.0222018
Apr-3-2001,0,1259.59,230891,26,6032,0.0206416
Apr-4-2001,0,315.542,231206,6,6038,0.0190149
Apr-5-2001,0,786.143,231992,7,6045,0.00890423
Apr-6-2001,0,1494.79,233487,56,6101,0.0374635
Apr-7-2001,0,0,233487,0,6101,nan
Apr-8-2001,0,239.699,233727,10,6111,0.041719
Apr-9-2001,0,258.094,233985,14,6125,0.0542439
Apr-10-2001,0,0,233985,0,6125,nan
Apr-11-2001,0,0,233985,0,6125,nan
Apr-12-2001,0,0,233985,0,6125,nan
Apr-13-2001,0,0,233985,0,6125,nan
Apr-14-2001,0,0,233985,0,6125,nan
Apr-15-2001,0,0,233985,0,6125,nan
Apr-16-2001,0,0,233985,0,6125,nan
Apr-17-2001,0,0,233985,0,6125,nan
Apr-18-2001,0,0,233985,0,6125,nan
Apr-19-2001,0,0,233985,0,6125,nan
Apr-20-2001,0,0,233985,0,6125,nan
Apr-21-2001,0,0,233985,0,6125,nan
Apr-22-2001,0,0,233985,0,6125,nan
Apr-23-2001,0,0,233985,0,6125,nan
Apr-24-2001,0,0,233985,0,6125,nan
Apr-25-2001,0,0,233985,0,6125,nan
Apr-26-2001,0,0,233985,0,6125,nan
Apr-27-2001,0,0,233985,0,6125,nan
Apr-28-2001,0,0,233985,0,6125,nan
Apr-29-2001,0,0,233985,0,6125,nan
Apr-30-2001,0,0,233985,0,6125,nan
May-1-2001,0,0,233985,0,6125,nan
May-2-2001,0,0,233985,0,6125,nan
May-3-2001,0,0,233985,0,6125,nan
May-4-2001,0,0,233985,0,6125,nan
May-5-2001,0,0,233985,0,6125,nan
May-6-2001,0,0,233985,0,6125,nan
May-7-2001,0,0,233985,0,6125,nan
May-8-2001,0,0,233985,0,6125,nan
May-9-2001,0,0,233985,0,6125,nan
May-10-2001,0,0,233985,0,6125,nan
May-11-2001,0,0,233985,0,6125,nan
May-12-2001,0,0,233985,0,6125,nan
May-13-2001,0,0,233985,0,6125,nan
May-14-2001,0,0,233985,0,6125,nan
May-15-2001,0,0,233985,0,6125,nan
May-16-2001,0,0,233985,0,6125,nan
May-17-2001,0,0,233985,0,6125,nan
May-18-2001,0,0,233985,0,6125,nan
May-19-2001,0,0,233985,0,6125,nan
May-20-2001,0,0,233985,0,6125,nan
May-21-2001,0,0,233985,0,6125,nan
May-22-2001,0,0,233985,0,6125,nan
May-23-2001,0,0,233985,0,6125,nan
May-24-2001,0,0,233985,0,6125,nan
May-25-2001,0,0,233985,0,6125,nan
May-26-2001,0,0,233985,0,6125,nan
May-27-2001,0,0,233985,0,6125,nan
May-28-2001,0,0,233985,0,6125,nan
May-29-2001,0,0,233985,0,6125,nan
May-30-2001,0,0,233985,0,6125,nan
May-31-2001,0,0,233985,0,6125,nan
Jun-1-2001,0,0,233985,0,6125,nan
Jun-2-2001,0,0,233985,0,6125,nan
Jun-3-2001,0,0,233985,0,6125,nan
Jun-4-2001,0,0,233985,0,6125,nan
Jun-5-2001,0,0,233985,0,6125,nan
Jun-6-2001,0,0,233985,0,6125,nan
Jun-7-2001,0,0,233985,0,6125,nan
Jun-8-2001,0,0,233985,0,6125,nan
Jun-9-2001,0,0,233985,0,6125,nan
Jun-10-2001,0,0,233985,0,6125,nan

Jun-11-2001,0,0,0,0,0,nan
Jun-12-2001,0,0,0,0,0,nan
Jun-13-2001,0,138.201,138.201,0,0,0
Jun-14-2001,0,101.625,239.826,1,1,0.00984012
Jun-15-2001,0,0,239.826,0,1,nan
Jun-16-2001,0,0,239.826,0,1,nan
Jun-17-2001,0,0,239.826,0,1,nan
Jun-18-2001,0,0,239.826,0,1,nan
Jun-19-2001,0,0,239.826,0,1,nan
Jun-20-2001,0,0,239.826,0,1,nan
Jun-21-2001,0,136.519,376.345,0,1,0
Jun-22-2001,0,0,376.345,0,1,nan
Jun-23-2001,0,0,376.345,0,1,nan
Jun-24-2001,0,0,376.345,0,1,nan
Jun-25-2001,0,120.227,496.572,0,1,0
Jun-26-2001,0,244.378,740.95,2,3,0.00818405
Jun-27-2001,0,0,740.95,0,3,nan
Jun-28-2001,0,579.767,1320.72,0,3,0
Jun-29-2001,0,330.122,1650.84,1,4,0.00302918
Jun-30-2001,0,482.311,2133.15,0,4,0
Jul-1-2001,0,1908.93,4042.08,0,4,0
Jul-2-2001,0,1915.05,5957.13,3,7,0.00156654
Jul-3-2001,0,1395.66,7352.79,3,10,0.00214952
Jul-4-2001,0,2157.74,9510.52,0,10,0
Jul-5-2001,0,2273.6,11784.1,1,11,0.000439832
Jul-6-2001,0,1480.5,13264.6,1,12,0.000675447
Jul-7-2001,0,1543.45,14808.1,0,12,0
Jul-8-2001,0,1478.14,16286.2,1,13,0.000676528
Jul-9-2001,0,1284.41,17570.6,0,13,0
Jul-10-2001,0,1193.28,18763.9,1,14,0.000838023
Jul-11-2001,0,1132.72,19896.6,0,14,0
Jul-12-2001,0,1914.75,21811.4,0,14,0
Jul-13-2001,0,1895.15,23706.5,1,15,0.000527664
