,,A Season,,,,,,,,B Season,,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
STORM PETREL,Northern Victor,476.925,239,2984.17,0.501127,1.00012,239,-3.26901,0.333333,3610.38,134,730.452,0.0371152,0.975416,134,-0.218042,0.927319,4087.3,373,3714.63,0.168164,373
ARCTURUS,Akutan pollock,2160.07,303,2405.49,0.140273,0.932799,294,-0.539117,0.820294,1722.96,262,1831.86,0.152064,0.69915,78,-4.89971,0.333333,3883.03,565,4237.35,0.215507,372
RAVEN,Akutan pollock,2306.13,41,0,0.0177787,1.05834,168,0.388272,1.12942,0,0,,,,,,,2306.13,41,0,0.0177787,168
PROGRESS,Unalaska,1314.47,162,1038.04,0.123243,0.998392,162,-0.408073,0.863976,3110.7,104,824.55,0.033433,0.834071,104,-0.0678309,0.97739,4425.18,266,1862.59,0.100354,266
ARCTIC WIND,Westward,712.238,308,3900.46,0.43244,0.927315,296,-2.75565,0.333333,4874.54,165,389.996,0.0338494,0.992412,165,-0.0849804,0.971673,5586.77,473,4290.46,0.101445,461
PEGASUS,Akutan pollock,2066.57,58,0,0.0280658,1.06728,152,0.310446,1.10348,246.384,11,79.7977,0.0446457,1.07333,11,-0.521796,0.826068,2312.96,69,79.7977,0.0363597,163
GREAT PACIFIC,Unalaska,3064.31,201,0,0.0655939,0.975542,206,0.0272872,1.0091,2762.53,90,1063.93,0.0325788,0.720878,87,-0.0330129,0.988996,5826.84,291,1063.93,0.116097,293
NORDIC STAR,Unisea,475.343,170,2103.17,0.357636,0.955332,170,-2.17904,0.333333,4000.08,62,0,0.0154997,1.0035,127,0.663112,1.22104,4475.42,232,2103.17,0.072356,297
SEADAWN,Unisea,720.544,231,2859.02,0.320591,0.934263,231,-1.90309,0.365637,1509.51,83,1111.4,0.0549849,1.0053,83,-0.944209,0.685264,2230.05,314,3970.42,0.164504,314
POSEIDON,Northern Victor,551.562,217,2736.94,0.393428,0.955468,217,-2.45302,0.333333,2884.04,184,462.631,0.0637995,0.967627,102,-1.30421,0.565265,3435.6,401,3199.58,0.228781,319
