Date,Credits (for sale),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Jan-21-2007,0,1732.25,1732.25,173,173,0.0998704
Jan-22-2007,0,3722.68,5454.92,660,833,0.177292
Jan-23-2007,0,3596.62,9051.54,933,1766,0.25941
Jan-24-2007,0,4070.53,13122.1,977,2743,0.240018
Jan-25-2007,0,4491.83,17613.9,1071,3814,0.238433
Jan-26-2007,0,3313.02,20926.9,635,4449,0.191668
Jan-27-2007,0,2667.9,23594.8,541,4990,0.202781
Jan-28-2007,0,4117.38,27712.2,2846,7836,0.691216
Jan-29-2007,0,5595.65,33307.8,5658,13494,1.01114
Jan-30-2007,0,4448.96,37756.8,4292,17786,0.964719
Jan-31-2007,0,2314.68,40071.5,2358,20144,1.01871
Feb-1-2007,0,1971.68,42043.2,322,20466,0.163313
Feb-2-2007,0,4463.55,46506.7,377,20843,0.084462
Feb-3-2007,0,3898.12,50404.8,453,21296,0.11621
Feb-4-2007,0,4304.76,54709.6,559,21855,0.129856
Feb-5-2007,0,4127.29,58836.9,443,22298,0.107334
Feb-6-2007,0,1509.61,60346.5,87,22385,0.0576308
Feb-7-2007,0,4262.52,64609,332,22717,0.0778883
Feb-8-2007,0,4062.35,68671.4,435,23152,0.107081
Feb-9-2007,0,5502.19,74173.6,418,23570,0.0759697
Feb-10-2007,0,4025.32,78198.9,177,23747,0.0439716
Feb-11-2007,0,4623.51,82822.4,550,24297,0.118957
Feb-12-2007,0,3821.28,86643.7,894,25191,0.233953
Feb-13-2007,0,4505.04,91148.7,559,25750,0.124083
Feb-14-2007,0,4801.15,95949.9,756,26506,0.157462
Feb-15-2007,0,4558.5,100508,840,27346,0.184271
Feb-16-2007,0,4958.18,105467,318,27664,0.0641364
Feb-17-2007,0,4370.26,109837,981,28645,0.224472
Feb-18-2007,0,3081.56,112918,1220,29865,0.395903
Feb-19-2007,0,2705.64,115624,847,30712,0.31305
Feb-20-2007,0,3865.94,119490,575,31287,0.148735
Feb-21-2007,0,3777.56,123268,100,31387,0.0264721
Feb-22-2007,0,5010.88,128278,395,31782,0.0788285
Feb-23-2007,0,4060.9,132339,177,31959,0.0435864
Feb-24-2007,0,4337.15,136676,141,32100,0.0325098
Feb-25-2007,0,4228.44,140905,120,32220,0.0283793
Feb-26-2007,0,4237.78,145143,148,32368,0.034924
Feb-27-2007,0,4491.16,149634,175,32543,0.0389655
Feb-28-2007,0,4265.37,153899,99,32642,0.0232102
Mar-1-2007,0,4419.7,158319,222,32864,0.0502297
Mar-2-2007,0,3724.3,162043,239,33103,0.0641731
Mar-3-2007,0,3878.3,165921,223,33326,0.0574994
Mar-4-2007,0,4615.41,170537,46,33372,0.00996662
Mar-5-2007,0,3536.94,174074,11,33383,0.00311003
Mar-6-2007,0,4790.07,178864,84,33467,0.0175363
Mar-7-2007,0,2926.69,181791,29,33496,0.00990879
Mar-8-2007,0,3467.46,185258,41,33537,0.0118242
Mar-9-2007,0,2712.91,187971,160,33697,0.0589773
Mar-10-2007,0,2924.92,190896,65,33762,0.0222229
Mar-11-2007,0,789.2,191685,7,33769,0.00886974
Mar-12-2007,0,3902.84,195588,240,34009,0.0614937
