,,A Season,,,,,,,B Season,,,,,,,2006
Vessel Name,Coop,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Credit_Limited_Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
SEADAWN,Unisea,3610.65,457,452,1253.66,0.177345,339,-0.210644,0.95319,5739.63,229,308,143.311,0.0343083,231,0.340273,1.07562,9350.27,686,1396.97,0.0733668,570
NORDIC STAR,Unisea,2662.93,205,333.333,0,0.076983,250,0.545236,1.12116,3926.54,167,208,221.173,0.00458794,156,0.897753,1.1995,6589.46,372,221.173,0.0564538,406
COMMODORE,Northern Victor,4110.09,269,488,0,0.0654487,366,0.632108,1.14047,4846.62,103,236,0,0.0212519,177,0.585178,1.13004,8956.71,372,0,0.0415331,543
ARCTIC WIND,Westward,4490.68,484,578.667,1148.17,0.13074,434,0.140361,1.03119,7136.41,446,380,0,0.0624964,285,-0.188466,0.958119,11627.1,930,1148.17,0.0799856,719
ARCTURUS,Akutan pollock,4141.08,498,513.333,1083.25,0.151088,385,-0.0128861,0.997136,5805.61,1330,269.333,2619.28,0.176065,202,-2.31873,0.333333,9946.69,1828,3702.53,0.18378,587
ALDEBARAN,Akutan pollock,3813.59,595,486.667,1323.81,0.186763,365,-0.28158,0.937427,7219.93,861,328,1669.73,0.0976542,246,-0.84794,0.811569,11033.5,1456,2993.54,0.131962,611
AURORA,Unisea,9035.08,871,1093.33,538.973,0.0985157,820,0.383062,1.08512,13216.6,279,698.667,567.125,0.0162852,524,0.678341,1.15074,22251.7,1150,1106.1,0.0516814,1344
ALSEA,Unisea,4603.08,1001,589.333,2021.73,0.199895,442,-0.380485,0.915448,7215.21,55,369.333,172.245,0.00511148,277,0.887933,1.19732,11818.3,1056,2193.97,0.089353,719
ROYAL ATLANTIC,Northern Victor,3179.46,235,406.667,0,0.073912,305,0.568366,1.1263,5178.73,45,280,0,0.00868939,210,0.82082,1.1824,8358.18,280,0,0.0335001,515
PACIFIC PRINCE,Westward,8822.23,802,1148,0,0.0909068,861,0.440369,1.09786,11849.3,141,638.667,405.341,0.00768962,479,0.839573,1.18657,20671.6,943,405.341,0.0456182,1340
VIKING,Westward,6069.34,1020,754.667,4004.68,0.286731,566,-1.03449,0.769927,8179.59,134,424,366.542,0.0129271,318,0.741331,1.16474,14248.9,1154,4371.23,0.0809885,884
DESTINATION,Unalaska,6016.61,972,757.333,1698.35,0.191049,568,-0.31386,0.930253,8692.22,174,418.667,282.759,0.0129616,314,0.740684,1.1646,14708.8,1146,1981.11,0.0779124,882
GREAT PACIFIC,Unalaska,3374.22,319,433.333,0,0.0945405,325,0.413002,1.09178,4785.64,697,209.333,494.847,0.0913583,157,-0.729845,0.837812,8159.86,1016,494.847,0.124512,482
GLADIATOR,Akutan pollock,5255.57,829,656,1901.88,0.171751,492,-0.168514,0.962552,5063.97,670,264,289.88,0.118557,198,-1.24002,0.718385,10319.5,1499,2191.76,0.145258,690
ROYAL AMERICAN,Akutan pollock,2703.96,335,346.667,1014.81,0.156292,260,-0.0520806,0.988427,5102.26,294,274.667,428.699,0.048999,206,0.0647111,1.01438,7806.22,629,1443.51,0.0805768,466
AURIGA,Unisea,8377.68,1399,1004,4535.17,0.237865,753,-0.666457,0.851898,13602.4,463,705.333,0,0.0340382,529,0.34534,1.07674,21980.1,1862,4535.17,0.0847132,1282
STARLITE,Unisea,3186.17,499,420,1174,0.167481,315,-0.136355,0.969699,5807.39,50,310.667,0,0.00860972,233,0.822314,1.18274,8993.56,549,1174,0.0610437,548
DEFENDER,Unisea,9752.68,1497,1241.33,3459.46,0.214199,931,-0.48821,0.891509,14840.6,192,782.667,0,0.0129375,587,0.741136,1.1647,24593.3,1689,3459.46,0.0686774,1518
VIKING EXPLORER,Akutan pollock,3287.39,543,406.667,670.516,0.159733,305,-0.0779962,0.982668,5778.05,1046,277.333,1143.15,0.136573,208,-1.57796,0.603656,9065.43,1589,1813.67,0.175281,513
ALASKA ROSE,Unalaska,4882.24,690,618.667,1993.02,0.171327,464,-0.165317,0.963263,6685.4,622,333.333,0,0.0930386,250,-0.761362,0.830808,11567.6,1312,1993.02,0.11342,714
SEA WOLF,Unalaska,4756.68,673,621.333,1919.66,0.170249,466,-0.157201,0.965066,7161.54,514,317.333,139.431,0.0700644,238,-0.330423,0.926573,11918.2,1187,2059.09,0.0995954,704
BERING ROSE,Unalaska,4942.5,751,625.333,1573.42,0.154641,469,-0.0396516,0.991189,7693.81,862,341.333,765.267,0.0603301,256,-0.147832,0.967148,12636.3,1613,2338.68,0.127648,725
PACIFIC EXPLORER,Akutan pollock,4258.12,431,577.333,0,0.101218,433,0.362706,1.0806,5406.95,446,290.667,413.311,0.0732933,218,-0.39099,0.913113,9665.06,877,413.311,0.0907392,651
NORTHERN PATRIOT,Akutan pollock,6455.62,464,816,0,0.0718753,612,0.583705,1.12971,11943.1,947,608,1335.01,0.0621223,456,-0.18145,0.959678,18398.7,1411,1335.01,0.07669,1068
PACIFIC VIKING,Akutan pollock,2712.29,196,314.667,0,0.0722635,236,0.580781,1.12906,4479.35,869,212,842.023,0.163307,159,-2.07942,0.333333,7191.65,1065,842.023,0.148088,395
AMERICAN EAGLE,Northern Victor,3050.12,277,398.667,0,0.090816,299,0.441052,1.09801,4467.61,55,238.667,0,0.0123108,179,0.752891,1.16731,7517.73,332,0,0.0441623,478
STARFISH,Unisea,4584.38,385,564,0,0.0839807,423,0.492533,1.10945,7519.86,104,389.333,298.224,0.0141242,292,0.718876,1.15975,12104.2,489,298.224,0.0403991,715
GUN-MAR,Unisea,6688.75,735,868,1658.79,0.135389,651,0.105349,1.02341,9942.29,50,537.333,0,0.00502902,403,0.889479,1.19766,16631,785,1658.79,0.0472009,1054
CHELSEA K,Westward,13749.8,2730,1696,8723.63,0.352955,1272,-1.53326,0.621926,19371.4,252,960,287.341,0.0100607,720,0.795097,1.17669,33121.2,2982,9010.97,0.090033,1992
MORNING STAR,Unalaska,4597.83,711,536,2700.47,0.244023,402,-0.712833,0.841593,8052.88,715,304,718.452,0.0400849,228,0.231917,1.05154,12650.7,1426,3418.92,0.112721,630
PROGRESS,Unalaska,2602.25,268,326.667,0,0.102988,245,0.349381,1.07764,3973.71,378,193.333,230.568,0.0598429,145,-0.138692,0.969179,6575.96,646,230.568,0.0982366,390
NORTHWEST EXPLORER,Akutan pollock,4494.2,384,549.333,0,0.0854435,412,0.481516,1.107,2976.42,465,116,817.535,0.174627,87,-2.29176,0.333333,7470.62,849,817.535,0.113645,499
SOVEREIGNTY,Akutan pollock,6175.69,832,764,3579.21,0.225305,573,-0.571858,0.872921,9525.45,735,457.333,824.496,0.0778075,343,-0.475665,0.894297,15701.1,1567,4403.7,0.0998017,916
ARCTIC EXPLORER,Akutan pollock,3790.25,862,477.333,1994.44,0.241118,358,-0.690951,0.846455,5838.11,624,300,1454.06,0.0857654,225,-0.624936,0.861125,9628.36,1486,3448.51,0.154336,583
ARGOSY,Unisea,4618.49,460,573.333,948.466,0.120435,430,0.217974,1.04844,6511.69,139,292,198.295,0.0172649,219,0.659965,1.14666,11130.2,599,1146.76,0.0538177,649
FIERCE ALLEGIANCE,Unisea,5800.03,1069,709.333,3687.3,0.269794,532,-0.90693,0.79846,7809.09,75,418.667,0,0.00960419,314,0.803661,1.17859,13609.1,1144,3687.3,0.0840613,846
OCEAN LEADER,Peter Pan,775.743,15,106.667,0,0.0193363,80,0.979405,1.21765,280.888,27,14.6667,0,0.0961237,11,-0.819231,0.817949,1056.63,42,0,0.039749,91
AMERICAN BEAUTY,Peter Pan,1140.3,69,145.333,0,0.0605106,109,0.669299,1.14873,3791.12,406,205.333,845.952,0.083187,154,-0.576571,0.871873,4931.42,475,845.952,0.0963211,263
ALASKAN COMMAND,Westward,10065.8,2677,1206.67,7241.56,0.326812,905,-1.33636,0.690358,13718.6,388,669.333,352.542,0.0202004,502,0.604902,1.13442,23784.4,3065,7594.11,0.128866,1407
COLUMBIA,Akutan pollock,3725.67,615,469.333,1103.36,0.157876,352,-0.0640117,0.985775,5954.39,695,301.333,863.602,0.105485,226,-0.994818,0.778929,9680.06,1310,1966.96,0.13533,578
DOMINATOR,Akutan pollock,5098.39,675,656,3078.89,0.244119,492,-0.713557,0.841432,7936.26,870,397.333,401.562,0.0967524,298,-0.831025,0.815328,13034.7,1545,3480.45,0.11853,790
