,,A Season,,,,,,,B Season,,,,,,,2007
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
STORM PETREL,Northern Victor,3461.1,568,2772.69,0.499701,344,-0.688584,1,4340.83,744,559.317,0.0875311,198,-0.991773,1,7801.93,1312,3332,0.168164,542
ARCTURUS,Akutan pollock,4565.56,460,212.429,0.105671,454,0.628869,1,3554.82,1290,2079.78,0.136267,162,-2.36062,1,8120.38,1750,2292.21,0.215507,616
RAVEN,Akutan pollock,2306.13,41,0,0.0177787,229,0.92274,1,0,0,0,nan,0,,,2306.13,41,0,0.0177787,229
PROGRESS,Unalaska,2352.51,224,0,0.0952174,233,0.663821,1,3935.25,407,507.031,0.0548389,179,-0.0735551,1,6287.76,631,507.031,0.100354,412
ARCTIC WIND,Westward,4612.7,744,3907.93,0.753442,458,-1.53697,1,5264.53,258,0,0.0490072,240,0.0902393,1,9877.23,1002,3907.93,0.101445,698
PEGASUS,Akutan pollock,2066.57,58,0,0.0280658,205,0.888345,1,326.182,29,0,0.0889074,14,-1.03043,1,2392.76,87,0,0.0363597,219
GREAT PACIFIC,Unalaska,3064.31,201,0,0.0655939,304,0.762868,1,3826.46,599,132.212,0.105569,174,-1.49841,1,6890.77,800,132.212,0.116097,478
NORDIC STAR,Unisea,2578.51,414,1977.21,0.523863,256,-0.769368,1,4000.08,62,0,0.0154997,182,1.03136,1,6578.59,476,1977.21,0.072356,438
SEADAWN,Unisea,3579.56,710,2675.1,0.456624,355,-0.544554,1,2620.91,310,863.113,0.0768006,119,-0.690389,1,6200.47,1020,3538.21,0.164504,474
POSEIDON,Northern Victor,3288.51,945,2572.33,0.652075,327,-1.19805,1,3346.67,573,413.283,0.0715897,152,-0.544029,1,6635.17,1518,2985.61,0.228781,479
PACIFIC PRINCE,Westward,5679.85,1324,4216.64,0.750403,564,-1.52681,1,8370.82,2490,1419.53,0.0873219,382,-0.985896,1,14050.7,3814,5636.17,0.271446,946
BERING ROSE,Unalaska,4794.26,518,1007.16,0.136516,476,0.525738,1,6297.62,637,358.675,0.0594381,287,-0.202732,1,11091.9,1155,1365.83,0.10413,763
GOLDEN DAWN,Akutan pollock,5388.01,725,2806.04,0.217663,535,0.254419,1,7617.89,1130,1608,0.0613988,347,-0.2578,1,13005.9,1855,4414.05,0.142628,882
DESTINATION,Unalaska,5983.16,881,2955.63,0.199833,595,0.314036,1,7027.24,1345,1550.16,0.0816128,320,-0.825546,1,13010.4,2226,4505.79,0.171094,915
