,,A Season,,,,,,,B Season,,,,,,,2003
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
RAVEN,Akutan pollock,2529.17,143,0,0.0565404,1,239,-0.0745811,1,1487.29,1,0,0.000672365,1,55,0.696501,1,4016.45,144,0,0.0358525,294
ROYAL ATLANTIC,Northern Victor,3124.98,141,0,0.0451203,1,295,0.339281,1,5314.15,14,0,0.00263448,1,198,0.587367,1,8439.12,155,0,0.0183668,493
ALDEBARAN,Akutan pollock,4380.8,283,0,0.0646001,1,414,-0.366666,1,4845.78,61,0,0.0125883,1,181,0.0337266,1,9226.58,344,0,0.0372836,595
ARCTURUS,Akutan pollock,4769.33,333,0,0.0698211,1,451,-0.555876,1,5242.35,49,0,0.00934696,1,195,0.214012,1,10011.7,382,0,0.0381554,646
AURIGA,Unisea,8150.61,366,0,0.0449046,1,771,0.3471,1,13134.5,522,0,0.0397425,1,490,-1.47662,1,21285.2,888,0,0.0417192,1261
ALASKAN COMMAND,Westward,8096.21,359,0,0.0443417,1,766,0.367498,1,15087.3,301,0,0.0199505,1,563,-0.37577,1,23183.5,660,0,0.0284685,1329
STORM PETREL,Northern Victor,4366.19,213,0,0.048784,1,413,0.20651,1,4912.61,67,0,0.0136384,1,183,-0.0246802,1,9278.8,280,0,0.0301763,596
POSEIDON,Northern Victor,3214.86,181,0,0.0563011,1,304,-0.0659098,1,4774.66,113,0,0.0236666,1,178,-0.582461,1,7989.52,294,0,0.0367982,482
BRISTOL EXPLORER,Akutan pollock,4371.5,150,0,0.0343132,1,413,0.730934,1,6043.8,171,0,0.0282935,1,225,-0.839811,1,10415.3,321,0,0.0308201,638
NORDIC STAR,Unisea,2180.73,76,0,0.0348507,1,206,0.711453,1,4081.25,60,0,0.0147014,1,152,-0.083807,1,6261.98,136,0,0.0217184,358
GUN-MAR,Unisea,6723.5,267,0,0.0397115,1,636,0.5353,1,9454.56,20,0,0.00211538,1,353,0.616239,1,16178.1,287,0,0.0177401,989
SEADAWN,Unisea,3598.94,118,0,0.0327875,1,340,0.786226,1,5491.19,18,0,0.00327798,1,205,0.551575,1,9090.13,136,0,0.0149613,545
VIKING,Westward,5365.72,232,0,0.0432374,1,508,0.407519,1,7666.09,196,0,0.0255671,1,286,-0.688171,1,13031.8,428,0,0.0328427,794
WESTWARD I,Westward,4938.57,215,0,0.0435348,1,467,0.39674,1,6477.5,214,0,0.0330374,1,242,-1.10367,1,11416.1,429,0,0.0375786,709
ROYAL AMERICAN,Akutan pollock,2599.92,80,0,0.0307702,1,246,0.859331,1,3848.31,6,0,0.00155913,1,143,0.647179,1,6448.23,86,0,0.013337,389
ARGOSY,Unisea,4562.96,245,0,0.0536932,1,432,0.0285999,1,6950.27,29,0,0.0041725,1,259,0.50182,1,11513.2,274,0,0.0237987,691
STARFISH,Unisea,3984.84,175,0,0.0439164,1,377,0.382911,1,6352.59,191,0,0.0300665,1,237,-0.938428,1,10337.4,366,0,0.0354053,614
AMERICAN EAGLE,Northern Victor,2964.75,192,0,0.0647609,1,280,-0.372495,1,4584.25,31,0,0.00676228,1,171,0.357774,1,7549,223,0,0.0295403,451
STARWARD,Unisea,4227.04,216,0,0.0510996,1,400,0.122591,1,5632.21,21,0,0.00372855,1,210,0.526513,1,9859.25,237,0,0.0240383,610
CHELSEA K,Westward,13105.4,467,0,0.0356343,1,1240,0.683057,1,18738.2,573,0,0.0305792,1,700,-0.966944,1,31843.6,1040,0,0.0326596,1940
PACIFIC EXPLORER,Akutan pollock,3369.19,76,0,0.0225574,1,319,1.15697,1,5723.83,7,0,0.00122296,1,213,0.665877,1,9093.02,83,0,0.00912789,532
STARLITE,Unisea,3355.66,125,0,0.0372505,1,317,0.624484,1,5652.56,87,0,0.0153912,1,211,-0.122177,1,9008.22,212,0,0.0235341,528
DEFENDER,Unisea,10081.1,531,0,0.0526726,1,954,0.0655851,1,14947.2,395,0,0.0264264,1,558,-0.735964,1,25028.3,926,0,0.0369981,1512
ALSEA,Unisea,4527.27,257,0,0.0567671,1,428,-0.0827986,1,7096.68,16,0,0.00225457,1,265,0.608497,1,11624,273,0,0.023486,693
PACIFIC PRINCE,Westward,7661.12,411,0,0.0536475,1,725,0.0302551,1,10619.9,21,0,0.00197742,1,396,0.623913,1,18281,432,0,0.0236311,1121
CAITLIN ANN,Westward,4062.27,244,0,0.0600649,1,384,-0.202312,1,6091.48,7,0,0.00114915,1,227,0.669982,1,10153.7,251,0,0.0247199,611
VIKING EXPLORER,Akutan pollock,3309.97,148,0,0.0447134,1,313,0.354031,1,4364.31,2,0,0.000458262,1,163,0.70841,1,7674.28,150,0,0.0195458,476
NORTHWEST EXPLORER,Akutan pollock,6480.76,275,0,0.0424333,1,613,0.43666,1,5188.6,54,0,0.0104074,1,193,0.155028,1,11669.4,329,0,0.0281935,806
PEGASUS,Akutan pollock,2501.03,91,0,0.036385,1,236,0.655852,1,1900.99,0,0,0,1,71,0.733899,1,4402.02,91,0,0.0206723,307
GOLDEN DAWN,Akutan pollock,4458.17,221,0,0.0495719,1,422,0.177958,1,7141.48,42,0,0.00588114,1,266,0.406784,1,11599.7,263,0,0.0226731,688
SOVEREIGNTY,Akutan pollock,6993.96,887,698.809,0.105637,1,662,-1.85384,1,7561.33,50,0,0.00661259,1,282,0.3661,1,14555.3,937,698.809,0.0643752,944
PACIFIC VIKING,Akutan pollock,1847.95,69,0,0.0373387,1,174,0.621291,1,5881.24,153,0,0.0260149,1,219,-0.713075,1,7729.2,222,0,0.0287223,393
EXCALIBUR II,Northern Victor,1308.4,65,0,0.0496789,1,123,0.17408,1,1698.15,3,0,0.00176663,1,63,0.635637,1,3006.55,68,0,0.0226173,186
PROGRESS,Unalaska,2701.58,142,0,0.0525617,1,255,0.0696039,1,4210.89,90,0,0.0213732,1,157,-0.454897,1,6912.47,232,0,0.0335625,412
GREAT PACIFIC,Unalaska,3023.49,234,0,0.0773939,1,286,-0.830316,1,5130.63,271,395.417,0.0513177,1,191,-2.12044,1,8154.12,505,395.417,0.0619319,477
AURORA,Unisea,8996.06,468,0,0.0520228,1,851,0.0891354,1,13931.1,167,0,0.0119876,1,520,0.0671391,1,22927.2,635,0,0.0276964,1371
COLUMBIA,Akutan pollock,3814.87,330,0,0.0865037,1,361,-1.16046,1,4933.9,234,232.938,0.0480753,1,184,-1.94009,1,8748.77,564,232.938,0.0644662,545
NORTHERN PATRIOT,Akutan pollock,7641.31,661,0,0.0865035,1,723,-1.16045,1,9587.96,118,0,0.0123071,1,358,0.0493656,1,17229.3,779,0,0.0452138,1081
DOMINATOR,Akutan pollock,5572.57,246,0,0.0441448,1,527,0.374634,1,5518.58,113,0,0.0204763,1,206,-0.405012,1,11091.1,359,0,0.0323682,733
MAJESTY,Akutan pollock,1299.3,49,0,0.0377126,1,123,0.60774,1,4035.26,4,0,0.000991261,1,150,0.678764,1,5334.56,53,0,0.00993521,273
