Date,Credits Available,Credits Needed (Estimated),Credits Needed(Actual),Vessels (out of credits), Vessels (out of pollock IFQ),Pollock, Pollock (std), Bycatch, Bycatch (std)
Jan-21-2001,23812,,,0,0,632.19,632.19,8,8
Jan-22-2001,23771,,,0,0,1415.12,2047.3,41,49
Jan-23-2001,23765,,,0,0,942.915,2990.22,6,55
Jan-24-2001,23736,,,0,0,1225.53,4215.75,29,84
Jan-25-2001,23678,,,0,1,2153.74,6369.5,54,138
Jan-26-2001,23656,,,0,1,741.734,7111.23,22,160
Jan-27-2001,23598,,,0,1,2327.46,9438.69,58,218
Jan-28-2001,23538,,,0,1,2938.11,12376.8,60,278
Feb-1-2001,23425,,,0,1,3440.85,15817.7,113,391
Feb-2-2001,23314,,,0,1,4378.55,20196.2,111,502
Feb-3-2001,23126,,,0,1,4495.65,24691.9,188,690
Feb-1-2001,22946,,,0,1,4276.46,28968.3,180,870
Feb-2-2001,22757,,,0,1,4817,33785.3,189,1059
Feb-3-2001,22531,,,0,1,4945.82,38731.1,226,1285
Feb-4-2001,22273,,,0,1,4642.61,43373.7,258,1543
Feb-5-2001,22132,,,0,1,3851.34,47225.1,141,1684
Feb-6-2001,21889,,,0,1,5126.67,52351.7,243,1927
Feb-7-2001,21668,,,0,1,4257.59,56609.3,221,2148
Feb-8-2001,21427,,,0,1,4616.09,61225.4,241,2389
Feb-9-2001,21315,,,0,1,3424.38,64649.8,112,2501
Feb-10-2001,21192,,,0,1,2649.8,67299.6,123,2624
Feb-11-2001,21150,,,0,1,3899.8,71199.4,42,2666
Feb-12-2001,21116,,,0,2,3803.4,75002.8,27,2693
Feb-13-2001,21043,,,0,2,4486.07,79488.9,73,2766
Feb-14-2001,20977,,,0,2,3005.19,82494.1,66,2832
Feb-15-2001,20806,,,0,2,3778.13,86272.2,171,3003
Feb-16-2001,20776,,,0,2,3832.91,90105.1,30,3033
Feb-17-2001,20738,,,0,2,2898.43,93003.5,38,3071
Feb-18-2001,20697,,,0,3,2862.93,95866.5,39,3110
Feb-19-2001,20607,,,0,4,4361.55,100228,86,3196
Feb-20-2001,20506,,,0,5,3268.01,103496,100,3296
Feb-21-2001,20352,,,0,6,4848.15,108344,153,3449
Feb-22-2001,20240,,,0,6,4463.47,112808,112,3561
Feb-23-2001,20077,,,0,6,3743.87,116552,163,3724
Feb-24-2001,20025,,,0,6,2778.78,119330,52,3776
Feb-25-2001,19826,,,0,7,4798.54,124129,196,3972
Feb-26-2001,19766,,,0,8,3793.77,127923,60,4032
Feb-27-2001,19705,,,0,11,4719.03,132642,41,4073
Feb-28-2001,19670,,,0,11,4232.5,136874,35,4108
Mar-1-2001,19625,,,0,11,3167.64,140042,45,4153
Mar-2-2001,19579,,,0,12,3856.55,143898,40,4193
Mar-3-2001,19458,,,0,14,4394.34,148293,55,4248
Mar-4-2001,19386,,,0,14,5386.86,153680,72,4320
Mar-5-2001,19192,,,0,16,3861.31,157541,145,4465
Mar-6-2001,19047,,,0,17,3868.89,161410,141,4606
Mar-7-2001,18964,,,0,18,3676.33,165086,79,4685
Mar-8-2001,18766,,,0,20,5162.51,170249,170,4855
Mar-9-2001,18659,,,0,21,2947.59,173196,90,4945
Mar-10-2001,18588,,,0,21,2441.33,175637,71,5016
Mar-11-2001,18511,,,0,22,4035.18,179673,77,5093
Mar-12-2001,18436,,,0,24,3351.2,183024,40,5133
Mar-13-2001,18305,,,0,27,2589.39,185613,101,5234
Mar-14-2001,18199,,,0,28,3405.28,189019,105,5339
Mar-15-2001,18105,,,0,30,4070.35,193089,55,5394
Mar-16-2001,18075,,,0,30,3484.48,196573,30,5424
Mar-17-2001,18013,,,0,31,2095.37,198669,30,5454
Mar-18-2001,17920,,,0,32,3374.36,202043,73,5527
Mar-19-2001,17666,,,0,36,3795.51,205839,114,5641
Mar-20-2001,17536,,,0,38,2446.1,208285,53,5694
Mar-21-2001,17401,,,0,42,1739.66,210024,45,5739
Mar-22-2001,17265,,,0,45,3490.97,213515,49,5788
Mar-23-2001,17109,,,0,50,1948.91,215464,8,5796
Mar-24-2001,16901,,,0,54,3021.12,218485,29,5825
Mar-25-2001,16842,,,0,55,1189.75,219675,28,5853
Mar-26-2001,16757,,,0,58,1416.97,221092,17,5870
Mar-27-2001,16716,,,0,59,2050.55,223143,21,5891
Mar-28-2001,16608,,,0,61,1454.87,224598,54,5945
Mar-29-2001,16545,,,0,62,634.325,225232,0,5945
Mar-30-2001,16538,,,0,62,929.449,226161,7,5952
Apr-1-2001,16465,,,0,64,1199.02,227360,16,5968
Apr-1-2001,16457,,,0,64,919.495,228280,8,5976
Apr-2-2001,16368,,,0,65,1351.24,229631,30,6006
Apr-3-2001,16279,,,0,66,1259.59,230891,26,6032
Apr-4-2001,16271,,,0,67,315.542,231206,6,6038
Apr-5-2001,16185,,,0,70,786.143,231992,7,6045
Apr-6-2001,15969,,,0,74,1494.79,233487,56,6101
Apr-7-2001,15969,,,0,74,0,233487,0,6101
Apr-8-2001,15959,,,0,74,239.699,233727,10,6111
Apr-9-2001,15924,,,0,75,258.094,233985,14,6125
