Date,Credits Available,Credits Needed (Estimated),Credits Needed(Actual),Vessels (out of credits), Vessels (out of pollock IFQ),Pollock, Pollock (std), Bycatch, Bycatch (std)
Jun-11-2006,14184,,,0,0,280.321,280.321,5,5
Jun-12-2006,14164,,,0,0,662.47,942.791,20,25
Jun-13-2006,14093,,,0,0,1050.5,1993.29,71,96
Jun-14-2006,13822,,,0,0,2782.2,4775.49,271,367
Jun-15-2006,13626,,,1,0,2581.08,7356.57,196,563
Jun-16-2006,13466,,,2,0,2428.43,9785,173,736
Jun-17-2006,13302,,,2,0,3581.6,13366.6,164,900
Jun-18-2006,13165,,,2,0,2654.53,16021.1,137,1037
Jun-19-2006,13105,,,2,1,2104.62,18125.8,64,1101
Jun-20-2006,12991,,,2,1,3625.33,21751.1,114,1215
Jun-21-2006,12902,,,2,1,3181.87,24932.9,89,1304
Jun-22-2006,12838,,,2,1,2476.44,27409.4,64,1368
Jun-23-2006,12775,,,2,1,5052.97,32462.4,63,1431
Jun-24-2006,12766,,,2,2,3289.34,35751.7,10,1441
Jun-25-2006,12759,,,2,2,1373.36,37125.1,7,1448
Jun-26-2006,12726,,,2,2,2642.23,39767.3,33,1481
Jun-27-2006,12690,,,2,2,3400.03,43167.3,36,1517
Jun-28-2006,12652,,,2,2,3055.25,46222.6,38,1555
Jun-29-2006,12632,,,2,2,1533.53,47756.1,20,1575
Jun-30-2006,12620,,,2,2,1818.96,49575.1,12,1587
Jul-1-2006,12566,,,2,2,3839.17,53414.2,54,1641
Jul-2-2006,12490,,,2,2,2648.83,56063.1,76,1717
Jul-3-2006,12414,,,2,2,2739.6,58802.7,76,1793
Jul-4-2006,12339,,,2,2,3199.31,62002,75,1868
Jul-5-2006,12295,,,2,2,3241.19,65243.2,44,1912
Jul-6-2006,12285,,,2,2,2521.79,67765,10,1922
Jul-7-2006,12267,,,2,2,3086.87,70851.8,18,1940
Jul-8-2006,12265,,,2,2,1569.11,72420.9,2,1942
Jul-9-2006,12245,,,2,2,1476.91,73897.9,20,1962
