,,A Season,,,,,,,B Season,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PEGASUS,Akutan pollock,2147.95,70,0,0.0367793,1.03402,208,0.0986496,1.02192,0,0,0,nan,1.05144,0,,,2147.95,70,0,0.0325892,208
RAVEN,Akutan pollock,2438.3,88,0,0.0401919,1.03061,236,-0.0177732,0.99605,0,0,0,nan,1.05348,0,,,2438.3,88,0,0.0360907,236
PREDATOR,Akutan pollock,622.067,21,0,0.0337584,1,58,0.201708,1.04482,0,0,0,nan,1.03847,0,,,622.067,21,0,0.0337584,58
GREAT PACIFIC,Unalaska,3371.64,97,0,0.0311421,1.01605,321,0.290963,1.06466,4971.48,1175,857.332,0.142435,0.938364,175,-2.02442,0.333333,8343.12,1272,857.332,0.152461,496
PROGRESS,Unalaska,2580.81,105,0,0.0426222,1.03965,252,-0.100685,0.977625,4474.78,372,204.835,0.0871205,0.999234,168,-0.834054,0.814655,7055.6,477,204.835,0.0676059,420
VIKING,Westward,5229,219,0,0.043603,1.0141,498,-0.134146,0.97019,9339.69,192,0,0.0220564,0.962615,337,0.566113,1.1258,14568.7,411,0,0.0282112,835
INTREPID EXPLORER,Arctic Ent,1386.86,62,0,0.0447054,1,130,-0.171754,0.961832,0,0,0,nan,1,0,,,1386.86,62,0,0.0447054,130
NORDIC STAR,Unisea,3002.98,102,0,0.0359642,1.00481,283,0.126455,1.0281,5076.4,43,0,0.0118194,1.00147,191,0.786411,1.17476,8079.38,145,0,0.0179469,474
ANITA J,Northern Victor,2604.97,101,0,0.0403075,1.00953,247,-0.0217187,0.995174,5553.4,265,0,0.0493391,0.73888,154,-0.0210061,0.995332,8158.37,366,0,0.0448619,401
POSEIDON,Northern Victor,2930.64,124,0,0.0443589,1.01069,278,-0.159933,0.964459,5494.57,558,318.432,0.0724479,0.90938,187,-0.518302,0.884822,8425.21,682,318.432,0.0809475,465
MORNING STAR,Unalaska,4075.26,249,0,0.0630635,0.987816,378,-0.79805,0.822656,7137.36,1817,1062.93,0.0967991,0.851233,228,-1.04234,0.768126,11212.6,2066,1062.93,0.184257,606
PACIFIC PRINCE,Westward,8656.52,179,0,0.0218333,0.98583,801,0.608539,1.13523,10008,125,0,0.0137889,1.06917,402,0.744028,1.16534,18664.6,304,0,0.0162876,1203
WESTWARD I,Westward,5272.08,163,0,0.0333834,0.995027,492,0.214502,1.04767,3637.57,7,0,0.0032989,0.93386,127,0.96977,1.2155,8909.66,170,0,0.0190804,619
OCEAN EXPLORER,Akutan pollock,3476.57,115,0,0.0350921,1.0333,337,0.156209,1.03471,5535.07,38,0,0.00849131,0.943008,196,0.858031,1.19067,9011.64,153,0,0.0169781,533
AURORA,Unisea,8741.74,429,0,0.0502188,1.01311,832,-0.359847,0.920034,13030.8,519,0,0.0405194,1.0005,489,0.168792,1.03751,21772.5,948,0,0.0435411,1321
ALSEA,Unisea,4607.4,134,0,0.0301688,1.0118,437,0.324168,1.07204,6924.53,502,0,0.0742289,1.02245,266,-0.556628,0.876305,11531.9,636,0,0.0551512,703
