,,A Season,,,,,,,B Season,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PEGASUS,Akutan pollock,2147.95,101,0,0.0470216,1.03638,209,0.0957506,1.02128,0,0,0,nan,1.05286,0,,,2147.95,101,0,0.0470216,209
RAVEN,Akutan pollock,2438.3,125,0,0.0512652,1.03371,237,-0.0138416,0.996924,0,0,0,nan,1.05591,0,,,2438.3,125,0,0.0512652,237
PREDATOR,Akutan pollock,622.067,21,0,0.0337584,1,58,0.43828,1.0974,0,0,0,nan,1.03847,0,,,622.067,21,0,0.0337584,58
GREAT PACIFIC,Unalaska,3371.64,137,0,0.0406331,1.01822,322,0.260738,1.05794,4971.48,1665,1120.51,0.121009,0.932753,174,-1.37956,0.676768,8343.12,1802,1120.51,0.215986,496
PROGRESS,Unalaska,2580.81,143,0,0.0554089,1.04374,253,-0.120856,0.973143,4474.78,499,392.258,0.082302,0.996167,167,-0.60123,0.866393,7055.6,642,392.258,0.0909916,420
VIKING,Westward,5229,296,0,0.0566074,1.01273,498,-0.151809,0.966265,9339.69,269,0,0.0288018,0.957232,336,0.47457,1.10546,14568.7,565,0,0.0387818,834
INTREPID EXPLORER,Arctic Ent,1386.86,62,0,0.0447054,1,130,0.155568,1.03457,0,0,0,nan,1,0,,,1386.86,62,0,0.0447054,130
NORDIC STAR,Unisea,3002.98,140,0,0.0466203,1.00116,282,0.106114,1.02358,5076.4,72,0,0.0141833,0.998033,190,0.768524,1.17078,8079.38,212,0,0.0262396,472
ANITA J,Northern Victor,2604.97,138,0,0.0529756,1.00953,247,-0.0580152,0.987108,5553.4,397,161.393,0.0534124,0.73888,154,-0.0203076,0.995487,8158.37,535,161.393,0.0655768,401
POSEIDON,Northern Victor,2930.64,169,0,0.0576666,1.01189,278,-0.179162,0.960186,5494.57,764,717.422,0.0822667,0.960243,198,-0.60052,0.866551,8425.21,933,717.422,0.110739,476
MORNING STAR,Unalaska,4075.26,339,0,0.083185,0.985517,377,-0.838188,0.813736,7137.36,2616,1062.93,0.138778,0.838229,225,-1.73688,0.527038,11212.6,2955,1062.93,0.263542,602
PACIFIC PRINCE,Westward,8656.52,245,0,0.0283024,0.981652,799,0.579185,1.12871,10008,175,0,0.0174859,1.06986,402,0.702113,1.15603,18664.6,420,0,0.0225025,1201
WESTWARD I,Westward,5272.08,228,0,0.0432466,0.990628,491,0.193241,1.04294,3637.57,17,0,0.00467345,0.926624,126,0.959751,1.21328,8909.66,245,0,0.0274983,617
OCEAN EXPLORER,Akutan pollock,3476.57,157,0,0.0451595,1.03466,338,0.143841,1.03196,5535.07,60,0,0.01084,0.950245,197,0.835752,1.18572,9011.64,217,0,0.02408,535
AURORA,Unisea,8741.74,571,0,0.0653188,1.01286,832,-0.376785,0.91627,13030.8,691,0,0.0530283,0.997785,489,-0.012584,0.997204,21772.5,1262,0,0.057963,1321
ALSEA,Unisea,4607.4,181,0,0.0392846,1.01097,438,0.295563,1.06568,6924.53,662,0,0.0956021,1.02087,265,-0.868674,0.806961,11531.9,843,0,0.0731013,703
AURIGA,Unisea,8447.87,594,0,0.0703136,0.992581,788,-0.505777,0.887605,13601.1,1045,0,0.0768318,0.978393,500,-0.491232,0.890837,22049,1639,0,0.0743344,1288
ROYAL ATLANTIC,Northern Victor,3361.35,156,0,0.04641,1.03177,326,0.111546,1.02479,5479.31,161,0,0.0293833,1.05921,218,0.462878,1.10286,8840.66,317,0,0.0358571,544
COMMODORE,Northern Victor,3388.08,232,0,0.0684754,0.94896,302,-0.458307,0.898154,4466.06,540,186.354,0.081314,0.950501,159,-0.581363,0.870808,7854.14,772,186.354,0.0982922,461
ALASKA ROSE,Unalaska,5376.35,245,0,0.04557,1.00763,509,0.13324,1.02961,7400.04,432,0,0.058378,0.921354,256,-0.120159,0.973298,12776.4,677,0,0.0529884,765
SEA WOLF,Unalaska,4588.45,158,0,0.0344343,1.03372,446,0.420826,1.09352,6757.6,1153,938.206,0.1196,0.801701,203,-1.35123,0.685757,11346.1,1311,938.206,0.115547,649
CHELSEA K,Westward,14417.2,823,0,0.0570845,0.994893,1349,-0.164129,0.963527,21692.3,1861,0,0.0857908,0.912783,744,-0.671383,0.850804,36109.5,2684,0,0.0743294,2093
ARCTURUS,Akutan pollock,4146.81,219,0,0.0528117,0.979808,382,-0.053781,0.988049,5753.99,1016,1251.96,0.0995106,1.01324,219,-0.947265,0.789497,9900.81,1235,1251.96,0.124737,601
STARFISH,Unisea,4384.03,264,0,0.0602186,1.0071,415,-0.24507,0.94554,6376.14,161,0,0.0252504,0.926033,222,0.545983,1.12133,10760.2,425,0,0.0394975,637
SEADAWN,Unisea,3599.38,198,0,0.0550095,1.02911,348,-0.110541,0.975435,7506.69,110,0,0.0146536,1.04842,296,0.759067,1.16868,11106.1,308,0,0.0277326,644
AMERICAN EAGLE,Northern Victor,2884.8,71,0,0.0246117,0.986386,267,0.674497,1.14989,4339.33,48,0,0.0110616,1.02346,167,0.831296,1.18473,7224.13,119,0,0.0164726,434
STARLITE,Unisea,3103.14,102,0,0.03287,1.0481,305,0.461224,1.10249,6105.15,76,0,0.0124485,1.03478,237,0.803408,1.17854,9208.29,178,0,0.0193304,542
