,,A Season,,,,,,,,,,CARRY-FORWARD,B Season,,,,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,credits (carry-forward),Pollock,Bycatch,Bycatch Rate,Credits,Stop Date,Credits Needed (actual),Unfished Pollock,Credit Value,z-score,q-value,Pollock,Bycatch,Bycatch Rate,Credits,Unfished Pollock
PEGASUS,Akutan pollock,2147.95,101,0.0470216,214,,,0,0,0.0841887,1.04251,113,0,0,nan,0,,,,,,,2147.95,101,0.0470216,214,0
RAVEN,Akutan pollock,2438.3,125,0.0512652,244,,,0,0,-0.0292336,0.984045,119,0,0,nan,0,,,,,,,2438.3,125,0.0512652,244,0
PREDATOR,Akutan pollock,622.067,21,0.0337584,40,,,0,0,0.438689,1.22187,19,0,0,nan,0,,,,,,,622.067,21,0.0337584,40,0
GREAT PACIFIC,Unalaska,3371.64,137,0.0406331,334,,,0,0,0.254942,1.13161,197,4971.48,1665,0.33491,173,Oct-6-2005,1199,1120.51,247.235,-2.47035,0.342092,8343.12,1802,0.215986,507,1120.51
PROGRESS,Unalaska,2580.81,143,0.0554089,265,,,0,0,-0.139988,0.925773,122,4474.78,499,0.111514,165,Oct-6-2005,163,392.258,636.642,-0.297483,0.842785,7055.6,642,0.0909916,430,392.258
VIKING,Westward,5229,296,0.0566074,504,,,0,0,-0.172023,0.904768,208,9339.69,269,0.0288018,326,,,0,0,0.507014,1.25528,14568.7,565,0.0387818,830,0
INTREPID EXPLORER,Arctic Ent,1386.86,62,0.0447054,137,,,0,0,0.146096,1.07423,75,0,0,nan,0,,,,,,,1386.86,62,0.0447054,137,0
NORDIC STAR,Unisea,3002.98,140,0.0466203,271,,,0,0,0.0949144,1.04781,131,5076.4,72,0.0141833,193,,,0,0,0.6492,1.31855,8079.38,212,0.0262396,464,0
ANITA J,Northern Victor,2604.97,138,0.0529756,252,,,0,0,-0.074951,0.957492,114,5553.4,397,0.0714877,147,Oct-9-2005,109,161.393,391.714,0.0918297,1.04781,8158.37,535,0.0655768,399,161.393
POSEIDON,Northern Victor,2930.64,169,0.0576666,286,,,0,0,-0.200331,0.889112,117,5494.57,764,0.139046,171,Sep-28-2005,371,717.422,511.578,-0.565279,0.712452,8425.21,933,0.110739,457,717.422
