Date, Vessels (out of credits),Pollock, Pollock (std),Bycatch, Bycatch (std), Bycatch Rate
Jan-21-2007,0,1732.25,1732.25,173,63,0.0998704
Jan-22-2007,0,3722.68,5454.92,660,315,0.177292
Jan-23-2007,0,3596.62,9051.54,933,693,0.25941
Jan-24-2007,0,4070.53,13122.1,977,1080,0.240018
Jan-25-2007,0,4491.83,17613.9,1071,1508,0.238433
Jan-26-2007,0,3313.02,20926.9,635,1752,0.191668
Jan-27-2007,0,2667.9,23594.8,541,1967,0.202781
Jan-28-2007,0,4117.38,27712.2,2846,3145,0.691216
Jan-29-2007,0,5595.65,33307.8,5658,5386,1.01114
Jan-30-2007,0,4448.96,37756.8,4292,7111,0.964719
Jan-31-2007,0,2314.68,40071.5,2358,8004,1.01871
Feb-1-2007,0,1971.68,42043.2,322,8132,0.163313
Feb-2-2007,0,4463.55,46506.7,377,8279,0.084462
Feb-3-2007,0,3898.12,50404.8,453,8456,0.11621
Feb-4-2007,0,4304.76,54709.6,559,8674,0.129856
Feb-5-2007,0,4127.29,58836.9,443,8850,0.107334
Feb-6-2007,0,1509.61,60346.5,87,8884,0.0576308
Feb-7-2007,0,4262.52,64609,332,9012,0.0778883
Feb-8-2007,0,4062.35,68671.4,435,9181,0.107081
Feb-9-2007,0,5502.19,74173.6,418,9334,0.0759697
Feb-10-2007,0,4025.32,78198.9,177,9400,0.0439716
Feb-11-2007,0,4623.51,82822.4,550,9624,0.118957
Feb-12-2007,0,3821.28,86643.7,894,9984,0.233953
Feb-13-2007,0,4505.04,91148.7,559,10198,0.124083
Feb-14-2007,0,4801.15,95949.9,756,10488,0.157462
Feb-15-2007,0,4558.5,100508,840,10829,0.184271
Feb-16-2007,0,4958.18,105467,318,10946,0.0641364
Feb-17-2007,0,4370.26,109837,981,11330,0.224472
Feb-18-2007,0,3081.56,112918,1220,11817,0.395903
Feb-19-2007,0,2705.64,115624,847,12164,0.31305
Feb-20-2007,0,3865.94,119490,575,12384,0.148735
Feb-21-2007,0,3777.56,123268,100,12419,0.0264721
Feb-22-2007,0,5010.88,128278,395,12576,0.0788285
Feb-23-2007,0,4060.9,132339,177,12637,0.0435864
Feb-24-2007,0,4337.15,136676,141,12690,0.0325098
Feb-25-2007,0,4228.44,140905,120,12729,0.0283793
Feb-26-2007,0,4237.78,145143,148,12782,0.034924
Feb-27-2007,0,4491.16,149634,175,12844,0.0389655
Feb-28-2007,0,4265.37,153899,99,12882,0.0232102
Mar-1-2007,0,4419.7,158319,222,12963,0.0502297
Mar-2-2007,0,3724.3,162043,239,13058,0.0641731
Mar-3-2007,0,3878.3,165921,223,13141,0.0574994
Mar-4-2007,0,4615.41,170537,46,13153,0.00996662
Mar-5-2007,0,3536.94,174074,11,13155,0.00311003
Mar-6-2007,0,4790.07,178864,84,13183,0.0175363
Mar-7-2007,0,2926.69,181791,29,13190,0.00990879
Mar-8-2007,0,3467.46,185258,41,13203,0.0118242
Mar-9-2007,0,2712.91,187971,160,13263,0.0589773
Mar-10-2007,0,2924.92,190896,65,13286,0.0222229
Mar-11-2007,0,789.2,191685,7,13288,0.00886974
Mar-12-2007,0,3902.84,195588,240,13377,0.0614937
Mar-13-2007,0,2406.99,197995,171,13440,0.0710431
Mar-14-2007,0,4406.81,202402,180,13509,0.0408459
Mar-15-2007,0,3576.85,205979,114,13548,0.0318717
Mar-16-2007,0,3477.77,209456,183,13613,0.05262
Mar-17-2007,0,4476.83,213933,262,13712,0.0585236
Mar-18-2007,0,3763.23,217696,100,13746,0.0265729
Mar-19-2007,0,3438.92,221135,104,13784,0.0302421
Mar-20-2007,0,2580.95,223716,127,13831,0.0492067
Mar-21-2007,0,2350.14,226066,61,13852,0.0259559
Mar-22-2007,0,3167.98,229234,96,13887,0.0303032
Mar-23-2007,0,2965.43,232200,249,13987,0.0839676
Mar-24-2007,0,2220.94,234421,109,14029,0.0490783
Mar-25-2007,0,2043.61,236464,140,14085,0.0685064
Mar-26-2007,0,1740.43,238205,259,14186,0.148814
Mar-27-2007,0,991.636,239196,169,14249,0.170425
Mar-28-2007,0,538.886,239735,6,14252,0.0111341
Mar-29-2007,0,0,239735,0,14252,nan
Mar-30-2007,0,0,239735,0,14252,nan
Mar-31-2007,0,0,239735,0,14252,nan
Apr-1-2007,0,0,239735,0,14252,nan
Apr-2-2007,0,0,239735,0,14252,nan
Apr-3-2007,0,0,239735,0,14252,nan
Apr-4-2007,0,0,239735,0,14252,nan
Apr-5-2007,0,0,239735,0,14252,nan
Apr-6-2007,0,0,239735,0,14252,nan
Apr-7-2007,0,0,239735,0,14252,nan
Apr-8-2007,0,0,239735,0,14252,nan
Apr-9-2007,0,0,239735,0,14252,nan
Apr-10-2007,0,0,239735,0,14252,nan
Apr-11-2007,0,0,239735,0,14252,nan
Apr-12-2007,0,0,239735,0,14252,nan
Apr-13-2007,0,0,239735,0,14252,nan
Apr-14-2007,0,0,239735,0,14252,nan
Apr-15-2007,0,0,239735,0,14252,nan
Apr-16-2007,0,0,239735,0,14252,nan
Apr-17-2007,0,0,239735,0,14252,nan
Apr-18-2007,0,0,239735,0,14252,nan
Apr-19-2007,0,0,239735,0,14252,nan
Apr-20-2007,0,0,239735,0,14252,nan
Apr-21-2007,0,0,239735,0,14252,nan
Apr-22-2007,0,0,239735,0,14252,nan
Apr-23-2007,0,0,239735,0,14252,nan
Apr-24-2007,0,0,239735,0,14252,nan
Apr-25-2007,0,0,239735,0,14252,nan
Apr-26-2007,0,0,239735,0,14252,nan
Apr-27-2007,0,0,239735,0,14252,nan
Apr-28-2007,0,0,239735,0,14252,nan
Apr-29-2007,0,0,239735,0,14252,nan
Apr-30-2007,0,0,239735,0,14252,nan
May-1-2007,0,0,239735,0,14252,nan
May-2-2007,0,0,239735,0,14252,nan
May-3-2007,0,0,239735,0,14252,nan
May-4-2007,0,0,239735,0,14252,nan
May-5-2007,0,0,239735,0,14252,nan
May-6-2007,0,0,239735,0,14252,nan
May-7-2007,0,0,239735,0,14252,nan
May-8-2007,0,0,239735,0,14252,nan
May-9-2007,0,0,239735,0,14252,nan
May-10-2007,0,0,239735,0,14252,nan
May-11-2007,0,0,239735,0,14252,nan
May-12-2007,0,0,239735,0,14252,nan
May-13-2007,0,0,239735,0,14252,nan
May-14-2007,0,0,239735,0,14252,nan
May-15-2007,0,0,239735,0,14252,nan
May-16-2007,0,0,239735,0,14252,nan
May-17-2007,0,0,239735,0,14252,nan
May-18-2007,0,0,239735,0,14252,nan
May-19-2007,0,0,239735,0,14252,nan
May-20-2007,0,0,239735,0,14252,nan
May-21-2007,0,0,239735,0,14252,nan
May-22-2007,0,0,239735,0,14252,nan
May-23-2007,0,0,239735,0,14252,nan
May-24-2007,0,0,239735,0,14252,nan
May-25-2007,0,0,239735,0,14252,nan
May-26-2007,0,0,239735,0,14252,nan
May-27-2007,0,0,239735,0,14252,nan
May-28-2007,0,0,239735,0,14252,nan
May-29-2007,0,0,239735,0,14252,nan
May-30-2007,0,0,239735,0,14252,nan
May-31-2007,0,0,239735,0,14252,nan
Jun-1-2007,0,0,239735,0,14252,nan
Jun-2-2007,0,0,239735,0,14252,nan
Jun-3-2007,0,0,239735,0,14252,nan
Jun-4-2007,0,0,239735,0,14252,nan
Jun-5-2007,0,0,239735,0,14252,nan
Jun-6-2007,0,0,239735,0,14252,nan
Jun-7-2007,0,0,239735,0,14252,nan
Jun-8-2007,0,0,239735,0,14252,nan
Jun-9-2007,0,0,239735,0,14252,nan
Jun-10-2007,0,0,239735,0,14252,nan

Jun-11-2007,0,656.449,656.449,12,3,0.0182802
Jun-12-2007,0,1545.91,2202.36,28,11,0.0181123
Jun-13-2007,0,3003.4,5205.75,55,31,0.0183126
Jun-14-2007,0,1947.15,7152.91,30,39,0.0154071
Jun-15-2007,0,2814.84,9967.74,37,51,0.0131446
Jun-16-2007,0,2414.94,12382.7,37,62,0.0153213
Jun-17-2007,0,3050.15,15432.8,55,79,0.0180319
Jun-18-2007,0,1722.43,17155.3,12,81,0.00696691
Jun-19-2007,0,2677.62,19832.9,21,85,0.00784278
Jun-20-2007,0,3143.86,22976.7,22,91,0.00699777
Jun-21-2007,0,2268.39,25245.1,8,92,0.00352672
Jun-22-2007,0,1780.78,27025.9,23,99,0.0129157
Jun-23-2007,0,3480.6,30506.5,39,110,0.011205
Jun-24-2007,0,3596.24,34102.8,19,115,0.0052833
Jun-25-2007,0,3091.93,37194.7,10,116,0.00323422
Jun-26-2007,0,2486.82,39681.5,19,120,0.00764029
Jun-27-2007,0,2598.46,42280,18,124,0.00692719
Jun-28-2007,0,3063.34,45343.3,15,126,0.00489661
Jun-29-2007,0,1292.62,46635.9,4,127,0.00309449
Jun-30-2007,0,1113.23,47749.2,5,128,0.00449142
Jul-1-2007,0,2866.25,50615.4,13,130,0.00453555
Jul-2-2007,0,2589.03,53204.4,15,133,0.00579367
Jul-3-2007,0,2877.57,56082,11,135,0.00382267
Jul-4-2007,0,2852.99,58935,12,137,0.00420612
Jul-5-2007,0,1615.46,60550.5,37,152,0.0229036
Jul-6-2007,0,2852.93,63403.4,13,154,0.00455672
Jul-7-2007,0,3093.47,66496.9,15,158,0.00484893
Jul-8-2007,0,2997.36,69494.2,10,160,0.00333627
Jul-9-2007,0,1729.16,71223.4,5,161,0.00289157
Jul-10-2007,0,1763.65,72987,2,161,0.00113401
Jul-11-2007,0,2132.71,75119.7,7,163,0.00328221
Jul-12-2007,0,3580.68,78700.4,7,164,0.00195494
Jul-13-2007,0,3515.01,82215.4,7,164,0.00199146
Jul-14-2007,0,1632.6,83848,3,164,0.00183756
Jul-15-2007,0,941.42,84789.5,1,164,0.00106223
Jul-16-2007,0,836.508,85626,1,164,0.00119545
Jul-17-2007,0,4356.05,89982,1,164,0.000229566
Jul-18-2007,0,3709.05,93691.1,4,164,0.00107844
Jul-19-2007,0,2887.94,96579,1,164,0.000346267
Jul-20-2007,0,1954.95,98534,2,164,0.00102304
Jul-21-2007,0,1282.31,99816.3,0,164,0
Jul-22-2007,0,1994.46,101811,4,164,0.00200555
Jul-23-2007,0,4285.1,106096,8,165,0.00186693
Jul-24-2007,0,2856.8,108953,15,166,0.00525063
Jul-25-2007,0,1718.53,110671,2,166,0.00116378
Jul-26-2007,0,1947.66,112619,8,168,0.0041075
Jul-27-2007,0,2910.47,115529,6,169,0.00206152
Jul-28-2007,0,4934.14,120463,13,172,0.00263471
Jul-29-2007,0,2776.15,123240,3,173,0.00108063
Jul-30-2007,0,2840.91,126080,3,173,0.001056
Jul-31-2007,0,1621.05,127702,2,173,0.00123376
Aug-1-2007,0,2356.75,130058,1,173,0.000424313
Aug-2-2007,0,1769.76,131828,6,174,0.00339029
Aug-3-2007,0,1885,133713,21,179,0.0111406
Aug-4-2007,0,4229.5,137943,18,182,0.00425582
Aug-5-2007,0,2778.61,140721,4,182,0.00143957
Aug-6-2007,0,2073.29,142794,5,182,0.00241163
Aug-7-2007,0,2389.85,145184,18,185,0.00753186
Aug-8-2007,0,954.865,146139,7,186,0.00733088
Aug-9-2007,0,1748.88,147888,6,186,0.00343076
Aug-10-2007,0,2894.33,150782,7,186,0.00241852
Aug-11-2007,0,1890.16,152673,0,186,0
Aug-12-2007,0,1565.67,154238,6,187,0.00383224
Aug-13-2007,0,2567.02,156805,4,188,0.00155823
Aug-14-2007,0,3123.15,159928,12,189,0.00384227
Aug-15-2007,0,3041.88,162970,7,190,0.00230121
Aug-16-2007,0,3630.45,166601,11,191,0.00302993
