,,A Season,,,,,,,,B Season,,,,,,,,2005
Vessel Name,Coop,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credit Factor,Credits,z-score,q-value,Pollock,Bycatch,Uncaught Pollock,Bycatch Rate,Credits
PEGASUS,Akutan pollock,2147.95,45,0,0.0209502,1.09424,154,0.412259,1.13742,0,0,,,,,,,2147.95,45,0,0.019088,154
RAVEN,Akutan pollock,2438.3,67,0,0.0274781,1.0999,176,0.0561035,1.0187,0,0,,,,,,,2438.3,67,0,0.023787,176
PREDATOR,Akutan pollock,622.067,14,0,0.0225056,0.703704,28,0.326407,1.1088,0,0,,,,,,,622.067,14,0,0.0160754,28
GREAT PACIFIC,Unalaska,3371.64,75,0,0.0222444,1.10215,244,0.342466,1.11416,4971.48,691,0,0.138993,0.936833,119,-3.8192,0.333333,8343.12,766,0,0.089415,363
PROGRESS,Unalaska,2580.81,80,0,0.030998,1.12502,191,-0.136101,0.954633,4474.78,222,0,0.0496114,0.984809,113,-0.804272,0.731909,7055.6,302,0,0.0398265,304
VIKING,Westward,5229,161,0,0.0307899,1.04311,359,-0.125383,0.958206,9339.69,127,0,0.0135979,0.913829,219,0.412072,1.13736,14568.7,288,0,0.0180524,578
INTREPID EXPLORER,Arctic Ent,1386.86,43,0,0.0310054,1.10201,100,-0.136184,0.954605,0,0,,,,,,,1386.86,43,0,0.0288422,100
NORDIC STAR,Unisea,3002.98,65,0,0.0216451,0.999889,197,0.37497,1.12499,5076.4,41,0,0.00807659,1.01613,132,0.596066,1.19869,8079.38,106,0,0.0110157,329
ANITA J,Northern Victor,2604.97,93,0,0.035701,0.993421,170,-0.392951,0.869016,5553.4,233,0,0.0419563,0.709699,101,-0.547024,0.817659,8158.37,326,0,0.0382429,271
POSEIDON,Northern Victor,2930.64,92,0,0.0313925,1.05463,203,-0.157752,0.947416,5494.57,376,0,0.0684312,0.768845,108,-1.44046,0.519847,8425.21,468,0,0.0535298,311
MORNING STAR,Unalaska,4075.26,181,0,0.0444144,1.0123,271,-0.871322,0.709559,7137.36,1008,0,0.141229,0.671473,123,-3.90543,0.333333,11212.6,1189,0,0.104436,394
PACIFIC PRINCE,Westward,8656.52,132,0,0.0152486,0.976495,556,0.732567,1.24419,10008,102,0,0.0101918,1.1734,302,0.528034,1.17601,18664.6,234,0,0.011412,858
WESTWARD I,Westward,5272.08,107,0,0.0202956,1.00446,348,0.450725,1.15024,3637.57,6,0,0.00164945,0.851382,79,0.811349,1.27045,8909.66,113,0,0.011785,427
OCEAN EXPLORER,Akutan pollock,3476.57,86,0,0.024737,1.08655,248,0.206172,1.06872,5535.07,35,0,0.00632332,0.870273,124,0.65559,1.21853,9011.64,121,0,0.0116516,372
AURORA,Unisea,8741.74,278,0,0.0318015,1.03578,596,-0.182145,0.939285,13030.8,369,0,0.0283176,1.01412,340,-0.0875388,0.97082,21772.5,647,0,0.0287518,936
